"sp_taxon_1";"sp_taxon_2";"value"
"Spilanthes urens";"Strymon columella";"1"
"Evolvulus nummularius";"Strymon columella";"1"
"Cassia occidentalis";"Unidentified sp6 M_PL_035";"1"
"Cassia sp1 M_PL_035";"Unidentified sp6 M_PL_035";"1"
"Morinda royoc";"Culex sp1 M_PL_035";"1"
"Stachytarpheta jamaicensis";"Danaus eresimus";"1"
"Eupatorium odoratum";"Hylephila phyleus";"1"
"Waltheria indica";"Unidentified sp7 M_PL_035";"1"
"Cordia globosa";"Unidentified sp8 M_PL_035";"1"
"Bursera simaruba ";"Xylocopa sp1 M_PL_035";"1"
