species.code,genus.species,Kingdom,Phylum,Class,Order,Family,Genus,Species,trophic.group,resolution,size,vertical.stratum,feeding.reference.supplemental.table.2,link.type
S0112,Anaceratagallia_ribauti,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Anaceratagallia,ribauti,herbivore,species,3,h,17; 18; 19,1
S0113,Anoscopus_flavostriatus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Anoscopus,flavostriatus,herbivore,species,3.45,h,17; 18; 19,1
S0114,Anoscopus_serratulae,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Anoscopus,serratulae,herbivore,species,3.93,h,17; 18; 19,1
S0115,Aphrodes_bicincta,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Aphrodes,bicincta,herbivore,species,6.05,h,17; 18; 19,1; 2
S0116,Aphrodes_makarovi,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Aphrodes,makarovi,herbivore,species,6.625,h,17; 18; 19,2
S0117,Arthaldeus_pascuellus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Arthaldeus,pascuellus,herbivore,species,3.425,h,17; 18; 19,1; 2
S0118,Athysanus_argentarius,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Athysanus,argentarius,herbivore,species,7.3,h,17; 18; 19,1
S0119,Chlorita_paolii,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Chlorita,paolii,herbivore,species,2.825,h,17; 18; 19,1
S0120,Cicadella_viridis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cicadella,viridis,herbivore,species,3,h,17; 18; 19,1; 2
S0121,Cicadula_persimilis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cicadula,persimilis,herbivore,species,4.6,h,17; 18; 19,1
S0122,Conosanus_obsoletus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Conosanus,obsoletus,herbivore,species,5.5,h,17; 18; 19,1; 2
S0123,Deltocephalus_pulicaris,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Deltocephalus,pulicaris,herbivore,species,2.675,h,17; 18; 19,1; 2
S0124,Doratura_stylata,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Doratura,stylata,herbivore,species,3.675,h,17; 18; 19,1; 2
S0125,Elymana_sulphurella,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Elymana,sulphurella,herbivore,species,4.75,h,17; 18; 19,1; 2
S0126,Emelyanoviana_mollicula,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Emelyanoviana,mollicula,herbivore,species,3.4,h,17; 18; 19,1; 2
S0127,Empoasca_decipiens,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Empoasca,decipiens,herbivore,species,3.5,h,17; 18; 19,2
S0128,Empoasca_pteridis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Empoasca,pteridis,herbivore,species,4.5,h,17; 18; 19,2
S0129,Errastunus_ocellaris,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Errastunus,ocellaris,herbivore,species,3.325,h,17; 18; 19,1
S0130,Eupteryx_atropunctata,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eupteryx,atropunctata,herbivore,species,3.6,h,17; 18; 19,1; 2
S0131,Eupteryx_calcarata,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eupteryx,calcarata,herbivore,species,3,h,17; 18; 19,2
S0132,Eupteryx_notata,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eupteryx,notata,herbivore,species,2.9,h,17; 18; 19,1; 2
S0133,Eupteryx_vittata,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Eupteryx,vittata,herbivore,species,3.4,h,17; 18; 19,1; 2
S0134,Euscelis_incisus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Euscelis,incisus,herbivore,species,3.825,h,17; 18; 19,1; 2
S0135,Graphocraerus_ventralis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Graphocraerus,ventralis,herbivore,species,5.45,h,17; 18; 19,1; 2
S0136,Macrosteles_cristatus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Macrosteles,cristatus,herbivore,species,3.5,h,17; 18; 19,1; 2
S0137,Macrosteles_laevis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Macrosteles,laevis,herbivore,species,3.5,h,17; 18; 19,1; 2
S0138,Macrosteles_maculosus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Macrosteles,maculosus,herbivore,species,3.5,h,17; 18; 19,
S0139,Macrosteles_sexnotatus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Macrosteles,sexnotatus,herbivore,species,3.5,h,17; 18; 19,1; 2
S0140,Megadelphax_sordidula,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Megadelphax,sordidula,herbivore,species,4.15,h,17; 18; 19,1; 2
S0141,Megophthalmus_scanicus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Megophthalmus,scanicus,herbivore,species,3.2,h,17; 18; 19,1; 2
S0142,Mocydia_crocea,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Mocydia,crocea,herbivore,species,4.85,h,17; 18; 19,1; 2
S0143,Neoaliturus_fenestratus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Neoaliturus,fenestratus,herbivore,species,4.2,h,17; 18; 19,1
S0144,Ophiola_decumana,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Ophiola,decumana,herbivore,species,3,h,17; 18; 19,1
S0145,Psammotettix_alienus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Psammotettix,alienus,herbivore,species,3.2,h,17; 18; 19,1; 2
S0146,Psammotettix_confinis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Psammotettix,confinis,herbivore,species,3.5,h,17; 18; 19,1; 2
S0147,Psammotettix_helvolus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Psammotettix,helvolus,herbivore,species,3.2,h,17; 18; 19,1; 2
S0148,Verdanus_abdominalis,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Verdanus,abdominalis,herbivore,species,4.15,h,17; 18; 19,1
S0149,Zyginidia_scutellaris,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Zyginidia,scutellaris,herbivore,species,3,h,17; 18; 19,1
S0150,Bathysolen_nubilis,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Bathysolen,nubilis,herbivore,species,5.85,g,19; 20,2
S0151,Coriomeris_denticulatus,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coriomeris,denticulatus,herbivore,species,8.75,h,20; 21,1; 2
S0152,Acanthodelphax_spinosa,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Acanthodelphax,spinosa,herbivore,species,2,h,17; 18,1
S0153,Dicranotropis_hamata,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Dicranotropis,hamata,herbivore,species,2.85,h,17; 18,1; 2
S0154,Ditropsis_flavipes,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Ditropsis,flavipes,herbivore,species,2.45,h,17; 18,1
S0155,Javesella_pellucida,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Javesella,pellucida,herbivore,species,3.55,h,17; 18,1; 2
S0156,Kosswigianella_exigua,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Kosswigianella,exigua,herbivore,species,2.5,h,17; 18,1
S0157,Laodelphax_striatella,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Laodelphax,striatella,herbivore,species,1.5,h,17; 18,1
S0158,Ribautodelphax_albostriata,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Ribautodelphax,albostriata,herbivore,species,3.55,h,17; 18,1
S0159,Ribautodelphax_angulosa,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Ribautodelphax,angulosa,herbivore,species,3,h,17; 18,1
S0160,Stenocranus_minutus,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Stenocranus,minutus,herbivore,species,5.5,h,17; 18,1
S0161,Drymus_ryei,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Drymus,ryei,herbivore,species,5,i,22; 23,2; 3
S0162,Drymus_sylvaticus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Drymus,sylvaticus,herbivore,species,4.5,i,22; 23,1; 3
S0163,Megalonotus_chiragra,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Megalonotus,chiragra,herbivore,species,5.95,g,23,3
S0164,Megalonotus_emarginatus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Megalonotus,emarginatus,herbivore,species,4,g,23,3
S0165,Metopoplax_origani,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Metopoplax,origani,herbivore,species,3,i,20; 23,2
S0166,Nysius_ericae,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Nysius,ericae,herbivore,species,4,h,23,1; 2
S0167,Nysius_senecionis,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Nysius,senecionis,herbivore,species,4.5,h,20; 23; 24,2
S0168,Peritrechus_geniculatus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Peritrechus,geniculatus,herbivore,species,5.5,i,23,3
S0169,Peritrechus_nubilus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Peritrechus,nubilus,herbivore,species,5.5,i,23,3
S0170,Sphragisticus_nebulosus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Sphragisticus,nebulosus,herbivore,species,5,g,23,3
S0171,Stygnocoris_rusticus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Stygnocoris,rusticus,herbivore,species,3.75,i,20; 23,1; 2; 3
S0172,Gargara_genistae,Animalia,Arthropoda,Insecta,Hemiptera,Membracidae,Gargara,genistae,herbivore,species,4.8,h,17,1; 2
S0173,Adelphocoris_lineolatus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Adelphocoris,lineolatus,herbivore,species,8.45,h,20,2
S0174,Adelphocoris_quadripunctatus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Adelphocoris,quadripunctatus,herbivore,species,8.9,h,20,1; 2
S0175,Adelphocoris_seticornis,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Adelphocoris,seticornis,omnivore,species,7.5,h,20,2
S0176,Amblytylus_nasutus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Amblytylus,nasutus,herbivore,species,4.25,h,20,2
S0177,Campylomma_verbasci,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Campylomma,verbasci,omnivore,species,3,h,20,2; 5.4
S0178,Charagochilus_gyllenhallii,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Charagochilus,gyllenhalii,herbivore,species,3,i,20,1
S0179,Chlamydatus_pulicarius,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Chlamydatus,pulicarius,herbivore,species,2.91,h,19,2
S0180,Chlamydatus_pullus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Chlamydatus,pullus,omnivore,species,2.35,g,20; 25,2
S0181,Chlamydatus_saltitans,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Chlamydatus,saltitans,omnivore,species,2.5,g,20; 25,2
S0182,Dicyphus_globulifer,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Dicyphus,globulifer,herbivore,species,3.75,h,20; 25,2
