"";"names";"date"
"49";"Fong.2013";"2013-01-01"
"50";"Fong.2014";"2014-01-01"
"51";"Gregory.2007";"2007-01-01"
"52";"Gregory.2008";"2008-01-01"
"53";"Gregory.2009";"2009-01-01"
"54";"Gregory.2011";"2011-01-01"
"55";"Gregory.2012";"2012-01-01"
"56";"Gregory.2013";"2013-01-01"
"57";"Gregory.2014";"2014-01-01"
"58";"H16.2006";"2006-01-01"
"59";"H16.2007";"2007-01-01"
"60";"H16.2008";"2008-01-01"
"61";"H16.2009";"2009-01-01"
"62";"H16.2011";"2011-01-01"
"63";"H16.2013";"2013-01-01"
"64";"H16.2014";"2014-01-01"
"65";"Harlan.2009";"2009-01-01"
"66";"Harlan.2011";"2011-01-01"
"67";"Harlan.2012";"2012-01-01"
"68";"Harlan.2013";"2013-01-01"
"69";"Harlan.2014";"2014-01-01"
"70";"Hrdy.2007";"2007-01-01"
"71";"Hrdy.2008";"2008-01-01"
"72";"Hrdy.2009";"2009-01-01"
"73";"Hrdy.2011";"2011-01-01"
"74";"Hrdy.2012";"2012-01-01"
"75";"Hrdy.2013";"2013-01-01"
"76";"Hrdy.2014";"2014-01-01"
"77";"Joe.2009";"2009-01-01"
"78";"Joe.2010";"2010-01-01"
"79";"Joe.2012";"2012-01-01"
"80";"Joe.2013";"2013-01-01"
"81";"Joe.2014";"2014-01-01"
"82";"MC1.2007";"2007-01-01"
"83";"MC1.2008";"2008-01-01"
"84";"MC1.2009";"2009-01-01"
"85";"MC1.2011";"2011-01-01"
"86";"MC1.2012";"2012-01-01"
"87";"MC1.2013";"2013-01-01"
"88";"MullerB.2006";"2006-01-01"
"89";"MullerB.2007";"2007-01-01"
"90";"MullerB.2008";"2008-01-01"
"91";"MullerB.2009";"2009-01-01"
"92";"MullerB.2011";"2011-01-01"
"93";"MullerB.2012";"2012-01-01"
"94";"MullerB.2013";"2013-01-01"
"95";"MullerB.2014";"2014-01-01"
"96";"MullerM.2010";"2010-01-01"
"97";"MullerM.2011";"2011-01-01"
"98";"MullerM.2012";"2012-01-01"
"99";"MullerM.2013";"2013-01-01"
"100";"MullerM.2014";"2014-01-01"
"101";"Rominger.2009";"2009-01-01"
"102";"Rominger.2010";"2010-01-01"
"103";"Rominger.2011";"2011-01-01"
"104";"Rominger.2012";"2012-01-01"
"105";"Rominger.2013";"2013-01-01"
"106";"Rominger.2014";"2014-01-01"
"107";"Sperandio.2007";"2007-01-01"
"108";"Sperandio.2008";"2008-01-01"
"109";"Sperandio.2009";"2009-01-01"
"110";"Sperandio.2011";"2011-01-01"
"111";"Sperandio.2012";"2012-01-01"
"112";"Sperandio.2013";"2013-01-01"
"113";"Sperandio.2014";"2014-01-01"
"114";"Spiva.2007";"2007-01-01"
"115";"Spiva.2008";"2008-01-01"
"116";"Spiva.2009";"2009-01-01"
"117";"Spiva.2011";"2011-01-01"
"118";"Spiva.2012";"2012-01-01"
"119";"Spiva.2013";"2013-01-01"
"120";"Spiva.2014";"2014-01-01"
"121";"Tractor.2009";"2009-01-01"
"122";"Tractor.2011";"2011-01-01"
"123";"Tractor.2012";"2012-01-01"
"124";"Tractor.2013";"2013-01-01"
"125";"Tractor.2014";"2014-01-01"
"126";"Turkovich.2006";"2006-01-01"
"127";"Turkovich.2007";"2007-01-01"
"128";"Turkovich.2008";"2008-01-01"
"129";"Turkovich.2009";"2009-01-01"
"130";"Turkovich.2011";"2011-01-01"
"131";"Turkovich.2012";"2012-01-01"
"132";"Turkovich.2013";"2013-01-01"
"133";"Turkovich.2014";"2014-01-01"
"134";"USS.2006";"2006-01-01"
"135";"USS.2007";"2007-01-01"
"136";"USS.2008";"2008-01-01"
"137";"USS.2009";"2009-01-01"
"138";"USS.2011";"2011-01-01"
"139";"USS.2012";"2012-01-01"
"140";"USS.2013";"2013-01-01"
"141";"USS.2014";"2014-01-01"
