sp_taxon_1;sp_taxon_2;value
Turdus rufiventris;Coussapoa microcarpa;1
Turdus rufiventris;Myrsine lancifolia;1
Turdus rufiventris;Cecropia glaziovi;1
Turdus rufiventris;Cupania vernalis;1
Turdus rufiventris;Miconia pusilliflora;1
Turdus rufiventris;Miconia valtherii;1
Turdus rufiventris;Leandra dasytricha;1
Turdus rufiventris;Euterpe edulis;1
Turdus rufiventris;Myrcia fallax;1
Turdus rufiventris;Alchornea triplinervia;1
Turdus rufiventris;Rubus rosaefolius;1
Turdus rufiventris;Miconia racemifera;1
Turdus rufiventris;Schinus terebinthifolius;1
Turdus rufiventris;Gomidesia schaueriana;1
Turdus rufiventris;Ossaea amygdaloides;1
Turdus rufiventris;Allophylus edulis;1
Turdus rufiventris;Miconia theaezans;1
Turdus rufiventris;Rubus urticaefolius;1
Turdus rufiventris;Ilex brevicuspis;1
Turdus rufiventris;Sapium glandulatum;1
Turdus rufiventris;Matayba guianensis;1
Turdus rufiventris;Ocotea puberula;1
Turdus rufiventris;Psychotria longipes;1
Turdus rufiventris;Struthanthus vulgaris;1
Turdus rufiventris;Casearia sylvestris ;1
Turdus rufiventris;Hieronyma alchorneoides;1
Turdus rufiventris;Miconia inconspicua;1
Turdus rufiventris;Tournefortia paniculata;1
Turdus rufiventris;Leandra laevigata;1
Turdus rufiventris;Phytolacca dioica;1
Turdus rufiventris;Psidium guajava;1
Turdus rufiventris;Solanum inodorum;1
Turdus rufiventris;Miconia sp1 M_SD_022;1
Turdus rufiventris;Rubus brasiliensis;1
Turdus rufiventris;Aureliana fasciculata;1
Turdus rufiventris;Oreopanax sp1 M_SD_022;1
Penelope obscura;Myrsine coriacea;1
Penelope obscura;Ficus luschnatiana;1
Penelope obscura;Coussapoa microcarpa;1
Penelope obscura;Myrsine lancifolia;1
Penelope obscura;Cecropia glaziovi;1
Penelope obscura;Symplocos glanduloso-marginata;1
Penelope obscura;Gomidesia schaueriana;1
Penelope obscura;Allophylus edulis;1
Penelope obscura;Myrcia grandiflora;1
Penelope obscura;Rubus urticaefolius;1
Penelope obscura;Ilex brevicuspis;1
Penelope obscura;Persea pyrifolia;1
Penelope obscura;Psidium cattleianum;1
Penelope obscura;Psychotria suterella;1
Penelope obscura;Vassobia breviflora;1
Penelope obscura;Casearia sylvestris ;1
Penelope obscura;Marlierea reitzii;1
Penelope obscura;Solanum variabile;1
Penelope obscura;Gomidesia affinis;1
Penelope obscura;Leandra melastomatoides;1
Penelope obscura;Myrcia rufula;1
Penelope obscura;Myrcia sp1 M_SD_022;1
Penelope obscura;Myrsine venesa;1
Penelope obscura;Eugenia melanogyna;1
Penelope obscura;Inga marginata;1
Penelope obscura;Nectandra cuspidata;1
Penelope obscura;Neomitranthes glomerata;1
Penelope obscura;Piper aduncum;1
Penelope obscura;Campomanesia xanthocarpa;1
Penelope obscura;Coccosypselum hasserianum;1
Penelope obscura;Coussarea contracta;1
Penelope obscura;Eugenia mosenii;1
Penelope obscura;Nectandra grandiflora;1
Penelope obscura;Allibertia mycifolia;1
Penelope obscura;Celtis iguaneae;1
Penelope obscura;Cryptocarya moschata;1
Penelope obscura;Solanum bullatum;1
Trichothraupis melanops;Coussapoa microcarpa;1
Trichothraupis melanops;Miconia pusilliflora;1
Trichothraupis melanops;Trema micrantha;1
Trichothraupis melanops;Miconia budlejoides;1
Trichothraupis melanops;Miconia valtherii;1
Trichothraupis melanops;Leandra dasytricha;1
Trichothraupis melanops;Rubus rosaefolius;1
Trichothraupis melanops;Miconia racemifera;1
Trichothraupis melanops;Schinus terebinthifolius;1
Trichothraupis melanops;Miconia latecrenata;1
Trichothraupis melanops;Ossaea amygdaloides;1
Trichothraupis melanops;Miconia theaezans;1
Trichothraupis melanops;Rubus urticaefolius;1
Trichothraupis melanops;Marcgravia polyantha;1
Trichothraupis melanops;Psychotria vellosiana;1
Trichothraupis melanops;Leandra pilonensis;1
Trichothraupis melanops;Casearia sylvestris ;1
Trichothraupis melanops;Leandra australis;1
Trichothraupis melanops;Miconia brasiliensis;1
Trichothraupis melanops;Miconia discolor;1
Trichothraupis melanops;Miconia inconspicua;1
Trichothraupis melanops;Leandra laevigata;1
Trichothraupis melanops;Leandra melastomatoides;1
Trichothraupis melanops;Leandra refracta;1
Trichothraupis melanops;Leandra sp1 M_SD_022;1
Trichothraupis melanops;Miconia tristis;1
Trichothraupis melanops;Rhipsalis teres;1
Trichothraupis melanops;Urera baccifera;1
Trichothraupis melanops;Casearia decandra;1
Trichothraupis melanops;Leandra regnellii;1
Trichothraupis melanops;Philodendron appendiculatum;1
Trichothraupis melanops;Psychotria forsteronioides;1
Trichothraupis melanops;Coccosypselum krauseanum;1
Trichothraupis melanops;Solanum americanum;1
Trichothraupis melanops;Heteropsis rigidifolia ;1
Trichothraupis melanops;Leandra barbinervis;1
Trichothraupis melanops;Miconia mistiflora;1
Thraupis cyanoptera;Myrsine coriacea;1
Thraupis cyanoptera;Ficus luschnatiana;1
Thraupis cyanoptera;Myrsine lancifolia;1
Thraupis cyanoptera;Cupania vernalis;1
Thraupis cyanoptera;Miconia pusilliflora;1
Thraupis cyanoptera;Symplocos glanduloso-marginata;1
Thraupis cyanoptera;Miconia budlejoides;1
Thraupis cyanoptera;Myrcia fallax;1
Thraupis cyanoptera;Xylopia brasiliensis;1
Thraupis cyanoptera;Schinus terebinthifolius;1
Thraupis cyanoptera;Myrcia grandiflora;1
Thraupis cyanoptera;Nectandra membranacea;1
Thraupis cyanoptera;Rubus urticaefolius;1
Thraupis cyanoptera;Ilex brevicuspis;1
Thraupis cyanoptera;Marcgravia polyantha;1
Thraupis cyanoptera;Psychotria vellosiana;1
Thraupis cyanoptera;Ilex microdonta;1
Thraupis cyanoptera;Fuchsia regia;1
Thraupis cyanoptera;Maytenus robustus;1
Thraupis cyanoptera;Miconia cinnamomifolia;1
Thraupis cyanoptera;Tournefortia paniculata;1
