REARING_NUMBER;date;sp_taxon_1;sp_taxon_2;value;attr;lat;lon;type
198231U-V1Onival;1982-07-09;Salix glaucosericea;Pontania nivalis;36;Number of galls;46,86666667;10,91666667;parasitism
198234A-35V1Ovesic;1982-07-20;Salix purpurea;Pontania vesicator;157;Number of galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Euderus albitarsis;8;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Eulonchetron torymoides;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Pteromalus dolichurus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Chalcidoidea indet.;9;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Curculio crux;52;Number of parasited galls;49,81666667;8,416666667;commensalism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Eurytoma aciculata;14;Number of parasited galls;49,81666667;8,416666667;commensalism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Bracon intercessor;3;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Aprostocetus alveatus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Macroneura vesicularis;8;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Eupelmus urozonus;5;Number of parasited galls;49,81666667;8,416666667;parasitism
198234A-35V1Ovesic;1982-07-20;Pontania vesicator;Bracon discoideus;4;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Euderus albitarsis;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Chalcidoidea indet.;6;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Eupelmus urozonus;3;Number of parasited galls;49,81666667;8,416666667;parasitism
198236A-V1Ovimin;1982-07-20;Pontania viminalis;Curculio crux;13;Number of parasited galls;49,81666667;8,416666667;commensalism
