REARING_NUMBER;taxon;name;value
2002SZ10Hpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ18Hischn;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ11Hplicd;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1997SZ71Hoblit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ40Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZWHtuber;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZVHplicg;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ54Hanoma;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1999SZ46Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
199508A-LHpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ19aHischn;Adelognathus sp.;Endo/Ecto;Ectoparasitism
199412A1-G1Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ39Heryth;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ18Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ41Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ46Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ20Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZVHplicg;Anoncus gallicola;Endo/Ecto;Endoparasitism
199117M1-V1Hplicg;Anoncus gallicola;Endo/Ecto;Endoparasitism
198209A-14V1Ovesic;Apanteles ?morrisi;Endo/Ecto;Ectoparasitism
198333A-35V1Onigri;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198401A-4V1Oviril;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198448A-49J1Oobscu;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198440Q-41ZOretus;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198555A-56ROlappo;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198553F1-54V1Onorve;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198557A-58ZOhasta;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198445F1-V1Ofoeti;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198446A1-47N1Ofoeti;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198460A1-61SOvaria;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198420A-21ZOadaph;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198424A-25V1Ohelve;Aptesis nigrocincta;Endo/Ecto;Endoparasitism
198905A-V1Oproxi;Apanteles sp.;Endo/Ecto;Ectoparasitism
199210S-11K1Eelaea;Aprostocetus sp.;Endo/Ecto;Endoparasitism
2010SZ26Hplicl;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2004SZ14Hangli;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ86Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
199104A-V1Hischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ38Hspira;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2010SZ27Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ64Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ56Heryth;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ32Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ17Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2002SZ07Hspira;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2009SZ24Halien;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ54Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ45Hspira;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
199119Q1-20XHspirh;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2010SZ23Hischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1999SZ49Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ5555Hplicg;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2002SZ04Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ3434Htuber;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ25aHleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1996SZ01Hpolit;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2009SZ16Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2009SZ15Hangli;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2010SZ25Hplicl;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1998SZ04Hangli;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ13aHleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
199408A1-9IHischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ51Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1988SZS-CHpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1998SZ27Hplicd;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
198617A-V1Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2007SZ04Hleuca;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
1995SZXHischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2010SZ41Hplicl;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
