"REARING_NUMBER";"original_name";"name_clear"
"198269A-70V1Eelaea";"Salix elaeagnos";"Salix elaeagnos"
"198271A-ZOmonti";"Salix foetida";"Salix foetida"
"198271A-ZOmonti";"Pontania montivaga";"Pontania montivaga"
"198271A1-V1Oobscu";"Pontania obscura";"Pontania obscura"
"198271A1-V1Oobscu";"Salix foetida";"Salix foetida"
"198272A-73V1Ovimin";"Salix purpurea";"Salix purpurea"
"198272A-73V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198274A-75V1Oproxi";"Salix fragilis";"Salix fragilis"
"198274A-75V1Oproxi";"Pontania proxima";"Pontania proxima"
"198276A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198276A-V1Oproxi";"Salix fragilis";"Salix fragilis"
"198277A-V1Oproxi";"Salix fragilis";"Salix fragilis"
"198277A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198278A-J1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198278A-J1Obridg";"Salix cinerea";"Salix cinerea"
"198278K1-79Oproxi";"Pontania proxima";"Pontania proxima"
"198278K1-79Oproxi";"Salix alba";"Salix alba"
"198301A-4V1Oviril";"Pontania virilis";"Pontania virilis"
"198301A-4V1Oviril";"Salix purpurea";"Salix purpurea"
"198305A-V1Opedun";"Pontania pedunculi";"Pontania pedunculi"
"198305A-V1Opedun";"Salix cinerea";"Salix cinerea"
"198306A-7V1Opedun";"Salix cinerea";"Salix cinerea"
"198306A-7V1Opedun";"Pontania pedunculi";"Pontania pedunculi"
"198308A-V1Obridg";"Salix cinerea";"Salix cinerea"
"198308A-V1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198309A-M1Ovimin";"Salix purpurea";"Salix purpurea"
"198309A-M1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198310A-V1Obridg";"Salix caprea";"Salix caprea"
"198310A-V1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198311A-V1Opedun";"Pontania pedunculi";"Pontania pedunculi"
"198311A-V1Opedun";"Salix cinerea";"Salix cinerea"
"198312A-13V1Ovesic";"Salix purpurea";"Salix purpurea"
"198312A-13V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198314A-16V1Oproxi";"Pontania proxima";"Pontania proxima"
"198314A-16V1Oproxi";"Salix fragilis";"Salix fragilis"
"198317A-18V1Oproxi";"Pontania proxima";"Pontania proxima"
"198317A-18V1Oproxi";"Salix fragilis";"Salix fragilis"
"198319A-20V1Oproxi";"Salix fragilis";"Salix fragilis"
"198319A-20V1Oproxi";"Pontania proxima";"Pontania proxima"
"198321A-V1Otrian";"Pontania triandrae";"Pontania triandrae"
"198321A-V1Otrian";"Salix triandra";"Salix triandra"
"198322A-25V1Oproxi";"Salix fragilis";"Salix fragilis"
"198322A-25V1Oproxi";"Pontania proxima";"Pontania proxima"
"198326A-27VOgalla";"Salix caprea";"Salix caprea"
"198326A-27VOgalla";"Pontania gallarum";"Pontania gallarum"
"198327Y-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198327Y-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198328A-30V1Ohelve";"Pontania helveticae";"Pontania helveticae"
"198328A-30V1Ohelve";"Salix helvetica";"Salix helvetica"
"198331A-32I1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198331A-32I1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198333A-35V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198333A-35V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198336A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198336A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198338A-V1Oadaph";"Salix daphnoides";"Salix daphnoides"
"198338A-V1Oadaph";"Pontania acutifoliae daphnoides";"Pontania acutifoliae daphnoides"
"198339A-V1Ovaria";"Pontania varia";"Pontania varia"
"198339A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198340A-41V1Oretic";"Salix reticulata";"Salix reticulata"
"198340A-41V1Oretic";"Pontania reticulatae";"Pontania reticulatae"
"198342A-43V1Omacul";"Salix helvetica";"Salix helvetica"
"198342A-43V1Omacul";"Pontania maculosa";"Pontania maculosa"
"198344A-V1Onival";"Pontania nivalis";"Pontania nivalis"
"198344A-V1Onival";"Salix glaucosericea";"Salix glaucosericea"
"198345A-V1Ohasta";"Salix hastata";"Salix hastata"
"198345A-V1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198346A-47V1Ohasta";"Salix hastata";"Salix hastata"
"198346A-47V1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198348A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198348A-V1Ovaria";"Pontania varia";"Pontania varia"
"198349A-50V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198349A-50V1Ovesic";"Salix purpurea";"Salix purpurea"
"198351A-ZOfoeti";"Salix foetida";"Salix foetida"
"198351A-ZOfoeti";"Pontania foetidae";"Pontania foetidae"
"198351A1-L1Omonti";"Salix foetida";"Salix foetida"
"198351A1-L1Omonti";"Pontania montivaga";"Pontania montivaga"
"198351M1-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198351M1-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198352A-V1Oobscu";"Pontania obscura";"Pontania obscura"
"198352A-V1Oobscu";"Salix foetida";"Salix foetida"
"198353A-V1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198353A-V1Ofoeti";"Salix foetida";"Salix foetida"
"198354A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198354A-V1Ovaria";"Pontania varia";"Pontania varia"
"198355A-57V1Oretus";"Salix retusa";"Salix retusa"
"198355A-57V1Oretus";"Pontania retusae";"Pontania retusae"
"198358A-V1Omonti";"Salix foetida";"Salix foetida"
"198359A-K1Ovesic";"Salix purpurea";"Salix purpurea"
"198359A-K1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198360A-XOvimin";"Pontania viminalis";"Pontania viminalis"
"198360A-XOvimin";"Salix purpurea";"Salix purpurea"
"198360Y-T1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198360Y-T1Obridg";"Salix cinerea";"Salix cinerea"
"198361A-MOtrian";"Pontania triandrae";"Pontania triandrae"
"198361A-MOtrian";"Salix triandra";"Salix triandra"
"198361O-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198361O-V1Oproxi";"Salix alba";"Salix alba"
"198362A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198362A-V1Oproxi";"Salix fragilis";"Salix fragilis"
"198363A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198363A-V1Oproxi";"Salix fragilis";"Salix fragilis"
"198364A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198364A-V1Oproxi";"Salix fragilis";"Salix fragilis"
"198365A-68V1Oproxi";"Salix fragilis";"Salix fragilis"
"198365A-68V1Oproxi";"Pontania proxima";"Pontania proxima"
"198369A-71V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198369A-71V1Ovaria";"Pontania varia";"Pontania varia"
"198401A-4V1Oviril";"Pontania virilis";"Pontania virilis"
"198401A-4V1Oviril";"Salix purpurea";"Salix purpurea"
"198405A-V1Ohelve";"Salix helvetica";"Salix helvetica"
"198406A-I1Opedun";"Salix cinerea";"Salix cinerea"
"198406A-I1Opedun";"Pontania pedunculi";"Pontania pedunculi"
"198406J1-7LOpedun";"Salix cinerea";"Salix cinerea"
"198406J1-7LOpedun";"Pontania pedunculi";"Pontania pedunculi"
"198407R-ZObridg";"Salix cinerea";"Salix cinerea"
"198408A-I1Ogalla";"Salix caprea";"Salix caprea"
"198408A-I1Ogalla";"Pontania gallarum";"Pontania gallarum"
"198409A-J1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198409A-J1Obridg";"Salix caprea";"Salix caprea"
"198409K1-Q1Obridg";"Salix caprea";"Salix caprea"
"198409K1-Q1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198412A-JHangli";"Salix viminalis";"Salix viminalis"
"198412A-JHangli";"Phyllocolpa anglica";"Phyllocolpa anglica"
"198414S-G1Ogalla";"Salix caprea";"Salix caprea"
"198414S-G1Ogalla";"Pontania gallarum";"Pontania gallarum"
"198415A-19ZOvesic";"Pontania vesicator";"Pontania vesicator"
"198415A-19ZOvesic";"Salix purpurea";"Salix purpurea"
"198419A1-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198419A1-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198420A-21ZOadaph";"Salix daphnoides";"Salix daphnoides"
"198420A-21ZOadaph";"Pontania acutifoliae daphnoides";"Pontania acutifoliae daphnoides"
"198421A1-22ZOhasta";"Pontania hastatae";"Pontania hastatae"
"198421A1-22ZOhasta";"Salix hastata";"Salix hastata"
"198422A1-V1Otrian";"Salix triandra";"Salix triandra"
"198423A-V1Oadaph";"Pontania acutifoliae daphnoides";"Pontania acutifoliae daphnoides"
"198423A-V1Oadaph";"Salix daphnoides";"Salix daphnoides"
"198424A-25V1Ohelve";"Pontania helveticae";"Pontania helveticae"
"198424A-25V1Ohelve";"Salix helvetica";"Salix helvetica"
"198426A-V1Ohelve";"Salix helvetica";"Salix helvetica"
"198426A-V1Ohelve";"Pontania helveticae";"Pontania helveticae"
"198427A-29JOmacul";"Salix helvetica";"Salix helvetica"
"198427A-29JOmacul";"Pontania maculosa";"Pontania maculosa"
"198429A1-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198429A1-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198429L-SOhelve";"Salix helvetica";"Salix helvetica"
"198430A-M1Okriec";"Salix elaeagnos";"Salix elaeagnos"
"198430A-M1Okriec";"Pontania kriechbaumeri";"Pontania kriechbaumeri"
"198431A-SOvaria";"Pontania varia";"Pontania varia"
"198431A-SOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198432A-33V1Ovaria";"Pontania varia";"Pontania varia"
"198432A-33V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198434A-Q1Omacul";"Salix helvetica";"Salix helvetica"
"198434A-Q1Omacul";"Pontania maculosa";"Pontania maculosa"
"198435A-V1Ohasta";"Salix hastata";"Salix hastata"
"198435A-V1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198436A-G1Ovaria";"Pontania varia";"Pontania varia"
"198436A-G1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198436I1-37WObrevi";"Salix breviserrata";"Salix breviserrata"
"198436I1-37WObrevi";"Pontania breviserratae";"Pontania breviserratae"
"198437A1-L1Oviril";"Pontania virilis";"Pontania virilis"
"198437A1-L1Oviril";"Salix purpurea";"Salix purpurea"
"198437M1-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198437M1-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198439A-40OOadaph";"Pontania acutifoliae daphnoides";"Pontania acutifoliae daphnoides"
"198439A-40OOadaph";"Salix daphnoides";"Salix daphnoides"
"198440Q-41ZOretus";"Salix retusa";"Salix retusa"
"198440Q-41ZOretus";"Pontania retusae";"Pontania retusae"
"198441A1-42L1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198441A1-42L1Ohasta";"Salix hastata";"Salix hastata"
"198442N1-V1Omacul";"Salix helvetica";"Salix helvetica"
"198442N1-V1Omacul";"Pontania maculosa";"Pontania maculosa"
"198443A-44SOhasta";"Pontania hastatae";"Pontania hastatae"
"198443A-44SOhasta";"Salix hastata";"Salix hastata"
"198445A1-D1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198445A1-D1Ovimin";"Salix purpurea";"Salix purpurea"
"198445F1-V1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198445F1-V1Ofoeti";"Salix foetida";"Salix foetida"
"198446A-YOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198446A-YOvaria";"Pontania varia";"Pontania varia"
"198446A1-47N1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198446A1-47N1Ofoeti";"Salix foetida";"Salix foetida"
"198448A-49J1Oobscu";"Pontania obscura";"Pontania obscura"
"198448A-49J1Oobscu";"Salix foetida";"Salix foetida"
"198449L1-P1Omacul";"Pontania maculosa";"Pontania maculosa"
"198449L1-P1Omacul";"Salix helvetica";"Salix helvetica"
"198450A-V1Omacul";"Pontania maculosa";"Pontania maculosa"
"198450A-V1Omacul";"Salix helvetica";"Salix helvetica"
"198451A-LOnival";"Salix glaucosericea";"Salix glaucosericea"
"198451A-LOnival";"Pontania nivalis";"Pontania nivalis"
"198451N-UOhasta";"Salix hastata";"Salix hastata"
"198452A-V1Obrevi";"Salix breviserrata";"Salix breviserrata"
"198452A-V1Obrevi";"Pontania breviserratae";"Pontania breviserratae"
"198453A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198453A-V1Ovaria";"Pontania varia";"Pontania varia"
"198454A-55V1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198454A-55V1Ohasta";"Salix hastata";"Salix hastata"
"198457A-B1Onival";"Pontania nivalis";"Pontania nivalis"
"198457A-B1Onival";"Salix glaucosericea";"Salix glaucosericea"
"198458A-U1Egemmh";"Salix helvetica";"Salix helvetica"
"198458A-U1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"198459A-LOretus";"Pontania retusae";"Pontania retusae"
"198459A-LOretus";"Salix retusa";"Salix retusa"
"198460A-ZOadaph";"Salix daphnoides";"Salix daphnoides"
"198460A-ZOadaph";"Pontania acutifoliae daphnoides";"Pontania acutifoliae daphnoides"
"198460A1-61SOvaria";"Pontania varia";"Pontania varia"
"198460A1-61SOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198462A-63V1Ocolla";"Salix repens";"Salix repens"
"198462A-63V1Ocolla";"Pontania collactanea";"Pontania collactanea"
"198464A-NObridg";"Salix cinerea";"Salix cinerea"
"198464Q-A1Opedun";"Salix cinerea";"Salix cinerea"
"198465A-XOgalla";"Salix caprea";"Salix caprea"
"198501A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
