"name";"bold";"eol";"tsn";"ncbi"
"Caiophora coronata";"430335";"50868373";NA;"310862"
"Nototriche compacta";NA;NA;NA;"581810"
"Calandrinia caespitosa";"621766";"57219514";NA;"89068"
"Calandrinia occulta";NA;NA;NA;NA
"Calandrinia picta";NA;NA;NA;NA
"Oreopolus glacialis";"436978";"52986350";NA;"60062"
"Azorella madreporica";NA;"52913406";NA;"344363"
"Pozoa coriacea";"417079";"52913368";NA;"344343"
"Valeriana radicalis";NA;"50877840";NA;"947127"
"Junellia uniflora";"623811";"50905339";NA;"443378"
"Viola montagnei";NA;NA;NA;NA
"Syrphidae";"1823";"46445416";NA;"34680"
"Stenanthidium espinosai";NA;NA;NA;NA
"Cynthia terpsichore";NA;"52258556";NA;"185471"
"Vibrissiomyia";NA;NA;NA;NA
