name,bold,eol,tsn,ncbi
Nosopsyllus philippovi,NA,NA,NA,NA
Nosopsyllus simla,NA,52459284,NA,NA
Nosopsyllus tersus,NA,52459241,NA,NA
Nosopsyllus turkmenicus,NA,NA,NA,NA
Ophthalmopsylla karakum,NA,52458759,NA,NA
Ophthalmopsylla kiritschenkovi,716198,52458761,NA,1530111
Ophthalmopsylla kukuschkini,NA,52458764,NA,NA
Ophthalmopsylla praefecta,750983,52458768,NA,507081
Ophthalmopsylla volgensis,NA,52458773,NA,651851
Oropsylla alaskensis,NA,NA,NA,NA
Oropsylla ilovaiskii,NA,52459314,NA,NA
Oropsylla silantiewi,NA,52459316,NA,1461318
Palaeopsylla caucasica,NA,52460997,NA,NA
Palaeopsylla kohauti,NA,52461011,NA,NA
Palaeopsylla soricis,NA,52461041,NA,NA
Paradoxopsyllus dashidorzhii,NA,52458793,NA,NA
Paradoxopsyllus hesperius,NA,52458800,NA,NA
Paradoxopsyllus integer,NA,52458803,NA,NA
Paradoxopsyllus kalabukhovi,NA,52458809,NA,NA
Paradoxopsyllus microphthalmus,NA,52458816,NA,NA
Paradoxopsyllus naryni,NA,52458818,NA,NA
Paradoxopsyllus repandus,NA,52458823,NA,1905351
Paradoxopsyllus scorodumovi,NA,52458826,NA,NA
Paradoxopsyllus teretifrons,NA,52458830,NA,NA
Paramonopsyllus scalonae,716262,52459738,NA,1658386
Paraneopsylla ioffi,NA,52461190,NA,NA
Paraneopsylla tiflovi,NA,52461194,NA,NA
Pectinoctenus lauta,716323,52458649,NA,1530122
Pectinoctenus nemorosa,716324,52458650,NA,1851604
Pectinoctenus pamirensis,NA,52458651,NA,NA
Pectinoctenus pavlovskii,716325,52458652,NA,1658318
Pectinoctenus pectiniceps,NA,NA,NA,1658319
Peromyscopsylla bidentata,NA,NA,NA,NA
Peromyscopsylla fallax,NA,52458664,NA,2033395
Peromyscopsylla ostsibirica,NA,52458680,NA,NA
Peromyscopsylla silvatica,716340,52458685,NA,506919
Peromyscopsylla tikhomirovae,NA,52458692,NA,NA
Phaenopsylla kopetdag,NA,52458889,NA,NA
Phaenopsylla tiflovi,NA,52458892,NA,NA
Phodopus campbelli,124119,51380916,632739,47665
Phodopus sungorus,89964,46594968,632741,10044
Prometheomys schaposchnikowi,NA,55937610,632902,399232
Pteromys volans,110992,56385722,930669,55152
Pygeretmus pumilio,124118,51379427,609746,1041408
Pygeretmus shitkovi,NA,55939133,609747,NA
Rattus turkestanicus,NA,51380187,NA,NA
Rhadinopsylla altaica,NA,52461249,NA,NA
Rhadinopsylla altifrons,NA,52461251,NA,NA
Rhadinopsylla angusta,NA,52461252,NA,NA
Rhadinopsylla bivirgis,NA,52461311,NA,NA
