"original_name";"name_clear"
"Unidentified sp18 M_PL_056";"Unidentified"
"Unidentified sp2 M_PL_056";"Unidentified"
"Unidentified sp20 M_PL_056";"Unidentified"
"Unidentified sp21 M_PL_056";"Unidentified"
"Unidentified sp24 M_PL_056";"Unidentified"
"Unidentified sp27 M_PL_056";"Unidentified"
"Unidentified sp28 M_PL_056";"Unidentified"
"Unidentified sp29 M_PL_056";"Unidentified"
"Unidentified sp32 M_PL_056";"Unidentified"
"Unidentified sp33 M_PL_056";"Unidentified"
"Unidentified sp34 M_PL_056";"Unidentified"
"Unidentified sp36 M_PL_056";"Unidentified"
"Unidentified sp38 M_PL_056";"Unidentified"
"Unidentified sp39 M_PL_056";"Unidentified"
"Unidentified sp4 M_PL_056";"Unidentified"
"Unidentified sp40 M_PL_056";"Unidentified"
"Unidentified sp41 M_PL_056";"Unidentified"
"Unidentified sp43 M_PL_056";"Unidentified"
"Unidentified sp44 M_PL_056";"Unidentified"
"Unidentified sp47 M_PL_056";"Unidentified"
"Unidentified sp48 M_PL_056";"Unidentified"
"Unidentified sp49 M_PL_056";"Unidentified"
"Unidentified sp5 M_PL_056";"Unidentified"
"Unidentified sp50 M_PL_056";"Unidentified"
"Unidentified sp51 M_PL_056";"Unidentified"
"Unidentified sp52 M_PL_056";"Unidentified"
"Unidentified sp53 M_PL_056";"Unidentified"
"Unidentified sp55 M_PL_056";"Unidentified"
"Unidentified sp57 M_PL_056";"Unidentified"
"Unidentified sp6 M_PL_056";"Unidentified"
"Unidentified sp60 M_PL_056";"Unidentified"
"Unidentified sp61 M_PL_056";"Unidentified"
"Unidentified sp62 M_PL_056";"Unidentified"
"Unidentified sp64 M_PL_056";"Unidentified"
"Unidentified sp65 M_PL_056";"Unidentified"
"Unidentified sp66 M_PL_056";"Unidentified"
"Unidentified sp67 M_PL_056";"Unidentified"
"Unidentified sp68 M_PL_056";"Unidentified"
"Unidentified sp69 M_PL_056";"Unidentified"
"Unidentified sp7 M_PL_056";"Unidentified"
"Unidentified sp70 M_PL_056";"Unidentified"
"Unidentified sp72 M_PL_056";"Unidentified"
"Unidentified sp75 M_PL_056";"Unidentified"
"Unidentified sp76 M_PL_056";"Unidentified"
"Unidentified sp78 M_PL_056";"Unidentified"
"Unidentified sp79 M_PL_056";"Unidentified"
"Unidentified sp80 M_PL_056";"Unidentified"
"Unidentified sp81 M_PL_056";"Unidentified"
"Unidentified sp83 M_PL_056";"Unidentified"
"Unidentified sp88 M_PL_056";"Unidentified"
"Unidentified sp9 M_PL_056";"Unidentified"
"Unidentified sp90 M_PL_056";"Unidentified"
"Unidentified sp91 M_PL_056";"Unidentified"
"Unidentified sp92 M_PL_056";"Unidentified"
"Unidentified sp94 M_PL_056";"Unidentified"
"Unidentified sp95 M_PL_056";"Unidentified"
"Unidentified sp96 M_PL_056";"Unidentified"
"Unidentified sp97 M_PL_056";"Unidentified"
"Unidentified sp98 M_PL_056";"Unidentified"
"Unidentified sp99 M_PL_056";"Unidentified"
"Vanessa indica ";"Vanessa indica "
"Vespa simillima";"Vespa simillima"
"Vespula austriaca ";"Vespula austriaca "
"Videa alneti ";"Videa alneti "
"Astilbe thunbergii";"Astilbe thunbergii"
"Reynoutria japonica";"Reynoutria japonica"
"Rodgersia podophylla";"Rodgersia podophylla"
"Cimicifuga simplex";"Cimicifuga simplex"
"Veratrum album oxysepalum";"Veratrum album oxysepalum"
"Pyrola alpina";"Pyrola alpina"
"Philadelphus satsumi";"Philadelphus satsumi"
"Lychnis gracillima";"Lychnis gracillima"
"Serratula coronata insularis";"Serratula coronata insularis"
"Veronicastrum sibiricum japonicum";"Veronicastrum sibiricum japonicum"
"Geranium eriostemon ";"Geranium eriostemon "
"Filipendula multifuga";"Filipendula multifuga"
"Cirsium effusum";"Cirsium effusum"
"Iris sanguinea";"Iris sanguinea"
"Lonicera alpigena ";"Lonicera alpigena "
"Elaeagnus montana";"Elaeagnus montana"
"Ligularia dentata";"Ligularia dentata"
"Rubus pungens ";"Rubus pungens "
"Cacalia adenostyloides";"Cacalia adenostyloides"
"Chamaenerion angustifolium";"Chamaenerion angustifolium"
"Enkianthus campanulatus";"Enkianthus campanulatus"
"Polygonatum lasianthum";"Polygonatum lasianthum"
"Pedicularis resupinata ";"Pedicularis resupinata "
"Cacalia hastata farfaraefolia";"Cacalia hastata farfaraefolia"
"Campanula punctata ";"Campanula punctata "
"Clinopodium chinense grandiflorum";"Clinopodium chinense grandiflorum"
"Patrinia triloba palmata";"Patrinia triloba palmata"
"Rubus idaeus f marmoratus";"Rubus idaeus f marmoratus"
"Menziesia pentandra";"Menziesia pentandra"
"Scabiosa japonica";"Scabiosa japonica"
"Ranunculus japonicus";"Ranunculus japonicus"
"Trollius hondoensis";"Trollius hondoensis"
"Libanotis coreana";"Libanotis coreana"
"Solidago virgaurea asiatica";"Solidago virgaurea asiatica"
"Anaphalis margaritacea";"Anaphalis margaritacea"
"Eupatorium chinense sachalinense";"Eupatorium chinense sachalinense"
"Senecio cannabifolius";"Senecio cannabifolius"
"Malus sieboldii";"Malus sieboldii"
"Aster ageratoides ovatus";"Aster ageratoides ovatus"
"Arabis lyrata kamtschatica";"Arabis lyrata kamtschatica"
"Senecio nemorensis";"Senecio nemorensis"
"Aster ageratoides amplexifolius";"Aster ageratoides amplexifolius"
"Dianthus superbus longicalycinus";"Dianthus superbus longicalycinus"
"Polemonium caeruleum yezoense";"Polemonium caeruleum yezoense"
"Pyrola incarnata";"Pyrola incarnata"
"Rhododendron wadanum";"Rhododendron wadanum"
"Hosta sieboldiana";"Hosta sieboldiana"
"Aconitum japonicum montanum";"Aconitum japonicum montanum"
"Aconitum senanense";"Aconitum senanense"
"Aquilegia buergeriana";"Aquilegia buergeriana"
"Synurus pungens";"Synurus pungens"
"Meehania urticifolia";"Meehania urticifolia"
"Prunus nipponica";"Prunus nipponica"
"Viburnum furcatum";"Viburnum furcatum"
"Oxalis acetosella";"Oxalis acetosella"
"Acer shirasawanum";"Acer shirasawanum"
"Cynanchum ascyrifolium";"Cynanchum ascyrifolium"
"Sorbus commixta";"Sorbus commixta"
"Euonymus macropterus";"Euonymus macropterus"
"Ribes maximowiczianum";"Ribes maximowiczianum"
"Angelica pubescens";"Angelica pubescens"
"Hydrangea paniculata";"Hydrangea paniculata"
"Fragaria nipponica";"Fragaria nipponica"
"Taraxacum hondoense";"Taraxacum hondoense"
"Potentilla freyniana";"Potentilla freyniana"
"Picris hieracioides japonica";"Picris hieracioides japonica"
"Weigela decora";"Weigela decora"
"Polygonatum macranthum";"Polygonatum macranthum"
"Angelica polymorpha";"Angelica polymorpha"
"Agrostis clavata";"Agrostis clavata"
"Aster glehni";"Aster glehni"
"Achillea alpina ";"Achillea alpina "
"Euphrasia maximowiczii";"Euphrasia maximowiczii"
"Patrinia villosa";"Patrinia villosa"
"Cypripedium guttatum ";"Cypripedium guttatum "
"Ixeris dentata";"Ixeris dentata"
"Thalictrum filamentosum tenerum";"Thalictrum filamentosum tenerum"
"Poa pratensis";"Poa pratensis"
"Pseudostellaria heterantha";"Pseudostellaria heterantha"
"Viburnum opulus ";"Viburnum opulus "
"Sedum aizoon";"Sedum aizoon"
"Prunus maximowiczii";"Prunus maximowiczii"
"Euonymus sieboldianus";"Euonymus sieboldianus"
"Acer ukurunduense";"Acer ukurunduense"
"Adenophora triphylla";"Adenophora triphylla"
"Gymnadenia conopsea";"Gymnadenia conopsea"
"Rhododendron degronianum";"Rhododendron degronianum"
"Viola grypoceras";"Viola grypoceras"
"Arabis hirsuta";"Arabis hirsuta"
"Veratrum maackii";"Veratrum maackii"
"Acer japonicum";"Acer japonicum"
