"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2007,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
Z2e: small jellyfish ,0,0,0,0,0,0.0065,0.0043,0.0021,0,0.2046,0,0,0,0.0358,0,0.0017,0,0.0358,0.0229,0,0,0.0004,0.0345,0.0279,0.0021,0.0065,0,0.0541,0,0.0021,0.0098,0,0.0033,0.004,0.015,0,0,0,0,0.0021,0.0065,0.0011,0,0,0.0133,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0
Z2f: large jellyfish ,0,0,0,0,0,0.0014,0.0014,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0176,0.0007,0,0,0,0.0027,0.005,0.0089,0,0.001,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0007,0,0,0,0,0,0,0,0
Z3a: E. pacifica (adult & juveniles) ,0,0,0,0,0,0,0.1828,0.0361,0,0,0,0,0.3209,0.2103,0.3922,0.287,0.4136,0.3235,0.1935,0.003,0.078,0.003,0.1694,0.7733,0.2681,0.1095,0.1741,0.0563,0.0071,0.4313,0.4436,0.2995,0.1783,0.3993,0.0856,0.0036,0.0856,0.0036,0,0.0029,0.2191,0,0.072,0,0.0599,0.0295,0,0.1426,0.0357,0.0722,0,0,0,0.0036,0.0143,0,0,0.0143,0.0107,0.0071,0.1806,0.0286,0.0178,0.0071,0.1114,0.0357,0.3566,0,0,0
Z3b: T. spinifera (adult & juveniles) ,0,0,0,0,0,0,0.0735,0.0145,0,0,0,0,0.1291,0.0846,0.1578,0.1155,0.1664,0.1302,0.0779,0.001,0,0,0.1423,0.0077,0.1079,0.0441,0.0701,0.0227,0.0029,0.1735,0.1785,0.1205,0.0717,0.1607,0.0344,0.0014,0.0344,0.0014,0,0.0011,0.0882,0,0.0289,0,0.0241,0.0118,0,0.0574,0.0143,0.029,0,0,0,0.0014,0.0057,0,0,0.0057,0.0043,0.0029,0.0727,0.0115,0.0072,0.0029,0.0448,0.0143,0.1434,0,0,0
C: cephalopod aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.007,0,0,0.0023,0,0.001,0.006,0.0641,0,0,0.0151,0.0819,0.005,0.1317,0.05,0.006,0.0829,0.01,0.0155,0.035,0.054,0.1501,0.025,0.01,0.001,0.001,0.0205,0,0.005,0.3,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.15,0.2,0.05,0.0051,0.5524,0.15,0.015,0.0104,0,0.035,0.01,0.035,0.225
PlnkF1a: smelt aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0.015,0.0142,0.0133,0.0033,0,0,0.0197,0.0202,0.0092,0.0103,0.006,0.0024,0.0086,0.0051,0.0078,0.009,0.0035,0.007,0.0004,0.0012,0.0002,0.0022,0,0.0061,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0.0249,0.0199,0.0159,0.0924,0.0083,0.0239,0.0208,0.0665,0,0.005,0.0274,0.0182,0.0133
PlnkF1b: shad,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0.0008,0.0009,0.0005,0.0002,0.0007,0.0004,0.0007,0.0008,0.0003,0.0006,0,0,0,0.0002,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0017,0.0013,0,0.0007,0.002,0.0018,0,0,0.0004,0.0003,0.0003,0.0011
PlnkF1c: sardine,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0.4799,0.4931,0.2233,0.2498,0.1465,0.0586,0.21,0.1248,0.1901,0.2182,0.0848,0.1697,0.0089,0.0033,0.004,0.0538,0,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6058,0.4846,0.3877,0,0.2028,0.5815,0.5064,0,0,0.1212,0.0987,0.0987,0.3231
PlnkF1d: herring,0,0,0,0,0,0,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0.0288,0.0274,0.0256,0.0064,0,0,0.0379,0.0389,0.0176,0.0197,0.0116,0.0046,0.0166,0.0098,0.015,0.0172,0.0067,0.0134,0.0007,0.0023,0.0003,0.0042,0,0.0118,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0.0478,0.0383,0.0306,0.1777,0.016,0.0459,0.04,0.1278,0,0.0096,0.0526,0.0351,0.0255
PlnkF1e: anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0.0148,0,0,0,0,0,0,0.0358,0.034,0.0319,0.0079,0,0,0.0471,0.0484,0.0219,0.0245,0.0144,0.0058,0.0206,0.0122,0.0187,0.0214,0.0083,0.0167,0.0009,0.0029,0.0004,0.0053,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0.0109,0,0,0.0594,0.0476,0.038,0.221,0.0199,0.0571,0.0497,0.1589,0,0.0119,0.0654,0.0436,0.0317
PlnkF1f: saury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0.0002,0.0002,0.0001,0,0.0002,0.0001,0.0002,0.0002,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0004,0.0003,0,0.0002,0.0005,0.0004,0,0,0.0001,0.0001,0.0001,0.0003
PlnkF2a: coho yearling,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0.0015,0.0014,0.0013,0.0003,0,0,0.0019,0.002,0.0009,0.001,0.0006,0.0002,0.0008,0.0005,0.0008,0.0009,0.0003,0.0007,0,0.0001,0,0.0002,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0.0024,0.0019,0.0016,0.009,0.0008,0.0023,0.002,0.0065,0,0.0005,0.0027,0.0018,0.0013
PlnkF2bi: Chinook subyearling,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0.0008,0.0007,0.0007,0.0002,0,0,0.001,0.001,0.0005,0.0005,0.0003,0.0001,0.0002,0.0002,0.0004,0.0005,0.0002,0.0004,0,0.0001,0,0.0001,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0.0013,0.001,0.0008,0.0048,0.0004,0.0012,0.0011,0.0034,0,0.0003,0.0014,0.0009,0.0007
PlnkF2bii: Chinook yearling,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0.0044,0.002,0.0022,0.0013,0.0005,0.0019,0.0011,0.0017,0.0019,0.0008,0.0015,0.0001,0,0,0.0005,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0.0043,0.0034,0,0.0018,0.0051,0.0045,0,0,0.0011,0.0009,0.0009,0.0029
PlnkF2c: other juvenile salmon,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0003,0.0003,0.0002,0.0001,0,0,0.0004,0.0004,0.0002,0.0002,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0005,0.0004,0.0003,0.0017,0.0002,0.0004,0.0004,0.0012,0,0.0001,0.0005,0.0003,0.0002
PlnkF3: mesopelagic fish aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.004,0.016,0,0,0.0504,0,0,0.0263,0.0251,0,0,0.005,0,0.0025,0.0054,0,0.002,0,0,0.0202,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07
PlnkF4: planktivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363,0,0,0.0146,0.0075,0,0.0173,0.0163,0.0101,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.0408,0.016
PiscF1a: coho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452,0,0,0,0,0,0.0058,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.045,0.018
PiscF1b: Chinook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.0003,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.0008
PiscF1c: other salmon aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.0004,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.0012
PiscF2: shark aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
PiscF3a: jack mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.0006,0,0.0111,0.0019
PiscF3b: Pacific mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0.1688,0.0281
PiscF4: piscivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484,0,0,0.0195,0.01,0,0.023,0.0217,0.0134,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.07,0.07
PiscF5: dogfish aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.1499,0.015
PiscF6: hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.0499,0,0,0,0.0124,0,0.0173,0.012,0.0251,0.006,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.002,0,0,0.002,0,0,0,0.012,0.022,0.019
PiscF7: sablefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.02
"PiscF8: Hexagrammidae (lingcod, greenling)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0,0,0.0103,0,0.0065,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0.002,0,0,0,0,0,0,0.083,0.03,0
PiscF9: flatfish (water-column feeders),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.0133,0.08,0,0,0.015,0.001,0.015,0,0.0015,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0111,0.025
BnthF1: skates & rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.075,0.01
BnthF2: misc. small benthic fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0.005,0,0,0,0,0.01,0.0052,0.001,0.0865,0.2501,0.1,0.05,0,0.0302,0.0256,0,0.0202,0.05,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.015,0.005,0.0051,0,0,0.1,0,0,0,0.034,0.02,0.01
BnthF3: benthivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0,0,0.0062,0.0031,0,0.0073,0.0069,0.0042,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0172,0.0067
"BnthF4: Gadidae (cod, haddock, pollock)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.0054,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0.052,0.01,0.006
BnthF5: flatfish (benthic feeders),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0,0,0.0209,0.0567,0,0.0043,0.074,0.04,0.059,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.1391,0.006,0.0232
BnthF6: flatfish (small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0,0.005,0.0052,0.001,0.0216,0.025,0.01,0.025,0.003,0.0012,0.0031,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0.005,0.0051,0,0,0.05,0,0,0,0.0724,0.0031,0.0121
BnthF7: grenadier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuvF1: juvenile rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.1194,0.362,0.043,0.3916,0.0034,0.0033,0.0403,0.0256,0.05,0.0263,0.0261,0.0171,0.0238,0.01,0.0166,0.02,0.0357,0.035,0.015,0.023,0.008,0.0071,0.0031,0,0.003,0,0.0063,0.0062,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0.006
JuvF2: juvenile fish (other),0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0113,0,0.001,0.01,0.0011,0.2389,0.394,0.541,0.2915,0.1028,0.0033,0.0202,0.0205,0.05,0.0263,0.0512,0.0333,0.0487,0.005,0.0309,0.03,0.0703,0.0477,0.025,0.047,0.017,0.003,0.0072,0,0.0071,0,0.0147,0.0145,0,0,0.005,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0.014
DepB1: infauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.0216,0,0.015,0.049,0.35,0,0.0512,0.6024,0.1513,0.15,0,0.0103,0,0.2,0.262,0.2699,0,0,0,0,0.1,0.4,0.305,0,0,0,0,0,0,0,0,0.03,0,0,0,0
DepB2a: Pandalus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0,0,0,0,0,0.001,0.003,0,0,0.0202,0,0,0,0.0077,0,0,0.05,0.0258,0.03,0.0216,0.05,0.05,0.02,0.03,0.2721,0.1024,0.0201,0.0504,0.02,0,0,0,0,0,0,0,0,0,0.005,0.001,0.001,0.005,0,0,0,0,0,0,0,0,0.08,0.05,0,0,0
DepB2b: other epibenthic shrimp (Caridea),0,0,0,0,0,0,0,0,0,0,0,0,0.0229,0,0,0,0,0,0,0,0.002,0,0.0011,0,0.0202,0,0,0,0.0234,0.005,0.0311,0.036,0.0348,0.05,0.025,0.05,0.053,0.1,0.09,0.1351,0.1024,0.1004,0.1362,0.05,0,0.0052,0,0.06,0.001,0.02,0,0,0,0.01,0.05,0.03,0.03,0,0,0,0.002,0,0,0,0,0.08,0.005,0,0,0
DepB3: mysids,0,0,0,0,0,0,0.0205,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0391,0.0169,0,0.001,0,0,0,0,0,0,0.005,0.0052,0.008,0.005,0.005,0.04,0.05,0.05,0,0.0205,0.0402,0.1009,0.05,0,0.0052,0,0.07,0.05,0.001,0,0,0,0.01,0.05,0.015,0.02,0,0,0,0.002,0,0,0.005,0,0.5,0.1,0,0,0
DepB4: echinoderms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.001,0.005,0.025,0.01,0.001,0,0.0051,0,0.002,0,0,0,0,0.005,0,0.001,0,0,0,0,0.015,0.029,0.04,0,0,0,0,0,0,0,0,0.004,0,0.015,0.025,0
