"Ruzicka, J.J., Brodeur, R.D., Emmett, R.L., Steele, J.H., Zamon, J.E., Morgan, C.A., Thomas, A.C., and Wainwright, T.C. (2012). Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish. Progress in Oceanography. 102, pp. 19-41.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Californian Current food web - 2005,MZ: micro-zooplankton,"Z1ai: copepods (large, >= 0.025mg C)","Z1aii: copepods (small, < 0.025mg C)",Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,"Z2b: pelagic shrimp (Sergestidae, Panaeidae)",Z2c: other macro-zooplankton ,Z2e: small jellyfish ,Z2f: large jellyfish ,Z3a: E. pacifica (adult & juveniles) ,Z3b: T. spinifera (adult & juveniles) ,C: cephalopod aggregate,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook subyearling,PlnkF2bii: Chinook yearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF7: sablefish,"PiscF8: Hexagrammidae (lingcod, greenling)",PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,"BnthF4: Gadidae (cod, haddock, pollock)",BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,"DepB5: benthic amphipods, isopods, and cumaceans",SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2: large pinnipeds,PiscMM4: toothed whales
Z2e: small jellyfish ,0,0,0,0,0,0.0065,0.0043,0.0021,0,0.2046,0,0,0,0.0358,0,0.0017,0,0.0358,0.0229,0,0,0.0004,0.0345,0.0279,0.0021,0.0065,0,0.0541,0,0.0021,0.0098,0,0.0033,0.004,0.01,0,0,0,0,0.0021,0.0065,0.0011,0,0,0.0133,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0
Z2f: large jellyfish ,0,0,0,0,0,0.0014,0.0014,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0176,0.0007,0,0,0,0.0027,0.005,0.085,0,0.001,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0007,0,0,0,0,0,0,0,0
Z3a: E. pacifica (adult & juveniles) ,0,0,0,0,0,0,0.1828,0.0362,0,0,0,0,0.3566,0.2103,0.3922,0.287,0.4136,0.3235,0.1936,0.003,0.078,0.003,0.1694,0.7733,0.2681,0.1095,0.1742,0.0563,0.0071,0.4313,0.4436,0.2889,0.1783,0.3997,0.057,0.0036,0.1426,0.0036,0,0.0029,0.2191,0,0.072,0,0.0599,0.0295,0,0.1426,0.0357,0.0722,0,0,0,0.0036,0.0143,0,0,0.0143,0.0107,0.0071,0.1806,0.0286,0.0178,0.0071,0.1113,0.0357,0.3566,0,0,0
Z3b: T. spinifera (adult & juveniles) ,0,0,0,0,0,0,0.0735,0.0145,0,0,0,0,0.1434,0.0846,0.1578,0.1155,0.1664,0.1302,0.0779,0.001,0,0,0.1423,0.0077,0.1079,0.0441,0.0701,0.0227,0.0029,0.1735,0.1785,0.1162,0.0717,0.1608,0.023,0.0014,0.0574,0.0014,0,0.0011,0.0882,0,0.0289,0,0.0241,0.0118,0,0.0574,0.0143,0.029,0,0,0,0.0014,0.0057,0,0,0.0057,0.0043,0.0029,0.0727,0.0115,0.0072,0.0029,0.0448,0.0143,0.1434,0,0,0
C: cephalopod aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.007,0,0,0.0023,0,0.001,0.006,0.0641,0,0,0.0151,0.0819,0.005,0.1317,0.05,0.006,0.0829,0.005,0.0155,0.05,0.054,0.15,0.01,0.01,0.001,0.001,0.0205,0,0.005,0.3,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.15,0.2,0.05,0.0051,0.5524,0.15,0.015,0.0104,0,0.035,0.01,0.0363,0.225
PlnkF1a: smelt aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0.0063,0.006,0.0056,0.0014,0,0,0.0174,0.0179,0.0081,0.0091,0.0053,0.0021,0.0073,0.0045,0.0066,0.0079,0.0031,0.0062,0.0003,0.0005,0.0001,0.002,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0.022,0.0176,0.0141,0.039,0.0074,0.0211,0.0184,0.028,0,0.0044,0.0115,0.0077,0.0117
PlnkF1b: shad,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0024,0.0011,0.0012,0.0007,0.0003,0.001,0.0006,0.0009,0.001,0.0004,0.0008,0,0,0,0.0003,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.0023,0.0019,0,0.001,0.0028,0.0024,0,0,0.0006,0.0006,0.0006,0.0015
PlnkF1c: sardine,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.3741,0.1694,0.1895,0.1111,0.0445,0.1532,0.0947,0.1379,0.1656,0.0643,0.1287,0.0067,0.0033,0.0031,0.0408,0,0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4595,0.3676,0.2941,0,0.1538,0.4412,0.3842,0,0,0.0919,0.099,0.099,0.2451
PlnkF1d: herring,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.0049,0.0046,0.0044,0.0011,0,0,0.0135,0.0139,0.0063,0.007,0.0041,0.0016,0.0057,0.0035,0.0051,0.0061,0.0024,0.0048,0.0002,0.0004,0.0001,0.0015,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.017,0.0136,0.0109,0.0302,0.0057,0.0163,0.0142,0.0217,0,0.0034,0.0089,0.006,0.0091
PlnkF1e: anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0.0291,0,0,0,0,0,0,0.0701,0.0667,0.0625,0.0156,0,0,0.1935,0.1989,0.0901,0.1007,0.0591,0.0236,0.0814,0.0503,0.0733,0.088,0.0342,0.0684,0.0036,0.0057,0.0016,0.0217,0,0.0287,0,0,0,0,0,0,0,0,0,0,0,0.0214,0,0,0.2443,0.1954,0.1564,0.433,0.0818,0.2345,0.2042,0.3115,0,0.0489,0.1282,0.0855,0.1303
PlnkF1f: saury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0.0002,0.0002,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0004,0.0003,0,0.0002,0.0005,0.0004,0,0,0.0001,0.0001,0.0001,0.0003
PlnkF2a: coho yearling,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0.0001,0.0001,0,0,0,0.0004,0.0004,0.0002,0.0002,0.0001,0,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0004,0.0003,0.0008,0.0002,0.0004,0.0004,0.0006,0,0.0001,0.0002,0.0002,0.0002
PlnkF2bi: Chinook subyearling,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0006,0.0006,0.0005,0.0001,0,0,0.0016,0.0017,0.0008,0.0008,0.0005,0.0002,0.0007,0.0004,0.0006,0.0007,0.0003,0.0006,0,0,0,0.0002,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0.002,0.0016,0.0013,0.0036,0.0007,0.002,0.0017,0.0026,0,0.0004,0.0011,0.0007,0.0011
PlnkF2bii: Chinook yearling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.0005,0.0005,0.0003,0.0001,0.0004,0.0003,0.0004,0.0004,0.0002,0.0003,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.001,0.0008,0,0.0004,0.0012,0.001,0,0,0.0002,0.0003,0.0003,0.0007
PlnkF2c: other juvenile salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlnkF3: mesopelagic fish aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.004,0.016,0,0,0.0504,0,0,0.0263,0.0251,0,0,0.005,0,0.0025,0.0054,0,0.004,0,0,0.0202,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07
PlnkF4: planktivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309,0,0,0.0155,0.0064,0,0.0147,0.0139,0.0062,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404,0.06,0.0136
PiscF1a: coho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247,0,0,0,0,0,0.0032,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0.0098,0.0098
PiscF1b: Chinook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234,0,0,0,0,0,0.003,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093,0.0093,0.0093
PiscF1c: other salmon aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0.0003,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0008
PiscF2: shark aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
PiscF3a: jack mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.0028,0,0.0249,0.0083
PiscF3b: Pacific mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0.0651,0.0217
PiscF4: piscivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507,0,0,0.0253,0.0104,0,0.0241,0.0228,0.0101,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335,0.067,0.0223
PiscF5: dogfish aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.15,0.015
PiscF6: hake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0.02,0,0.02,0.005,0.02,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.002,0,0,0.002,0,0,0,0.025,0.025,0.1
PiscF7: sablefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.02
"PiscF8: Hexagrammidae (lingcod, greenling)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0,0,0.0103,0,0.0065,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0.002,0,0,0,0,0,0,0.083,0.03,0
PiscF9: flatfish (water-column feeders),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.0173,0.08,0,0,0.015,0.001,0.015,0,0.0014,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864,0.01,0.003
BnthF1: skates & rays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0.01
BnthF2: misc. small benthic fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0.005,0,0,0,0,0.01,0,0.001,0.0865,0.25,0.1,0.05,0,0.0302,0.0256,0,0.0202,0.05,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.015,0.005,0.0051,0,0,0.1,0,0,0,0.034,0.03,0.01
BnthF3: benthivorous rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184,0,0,0.0092,0.0038,0,0.0087,0.0083,0.0037,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121,0.0207,0.0081
"BnthF4: Gadidae (cod, haddock, pollock)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.0054,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0.052,0.01,0
BnthF5: flatfish (benthic feeders),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0,0,0.0276,0.0721,0,0.0043,0.074,0.04,0.059,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.1382,0.006,0.006
BnthF6: flatfish (small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0,0.005,0.01,0.001,0.0216,0.025,0.005,0.02,0.002,0.0013,0.0031,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0.005,0.0051,0,0,0.05,0,0,0,0.0755,0.05,0.025
BnthF7: grenadier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuvF1: juvenile rockfish,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.1194,0.362,0.043,0.3916,0.0034,0.0033,0.0403,0.0256,0.05,0.0263,0.0261,0.0171,0.0238,0.02,0.0166,0.02,0.0357,0.04,0.015,0.023,0.008,0.0071,0.0031,0,0.003,0,0.0063,0.0062,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0.006
JuvF2: juvenile fish (other),0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0113,0,0.001,0.01,0.0011,0.2389,0.394,0.541,0.2915,0.1028,0.0033,0.0202,0.0205,0.05,0.0263,0.0512,0.0333,0.0487,0.013,0.0309,0.03,0.0703,0.05,0.025,0.047,0.017,0.003,0.0072,0,0.0071,0,0.0147,0.0145,0,0,0.005,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0.014
DepB1: infauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0.0216,0,0.015,0.05,0.34,0,0.0512,0.6024,0.1413,0.15,0,0.0103,0,0.2,0.282,0.2899,0,0,0,0,0.1,0.4,0.325,0,0,0,0,0,0,0,0,0.03,0,0,0,0
DepB2a: Pandalus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0.0091,0,0,0,0,0,0,0,0.001,0.003,0,0,0.0351,0,0,0,0.0077,0,0,0.05,0.02,0.03,0.0216,0.05,0.032,0.02,0.03,0.2721,0.1024,0.0201,0.0504,0.02,0,0,0,0,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0.08,0.05,0,0,0
DepB2b: other epibenthic shrimp (Caridea),0,0,0,0,0,0,0,0,0,0,0,0,0.0276,0,0,0,0,0,0,0,0.002,0,0.001,0,0.0352,0,0,0,0.0234,0.005,0.0311,0.05,0.025,0.05,0.0113,0.05,0.055,0.1,0.09,0.1351,0.1024,0.1004,0.1362,0.05,0,0.0052,0,0.06,0.001,0.02,0,0,0,0.01,0.05,0.01,0.03,0,0,0,0.002,0,0,0,0,0.08,0.005,0,0,0
DepB3: mysids,0,0,0,0,0,0,0.0205,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0391,0.0169,0,0.001,0,0,0,0,0,0,0.005,0.005,0.008,0.005,0.005,0.03,0.05,0.05,0,0.0205,0.0402,0.1009,0.05,0,0.0052,0,0.07,0.05,0.001,0,0,0,0.01,0.05,0.01,0.02,0,0,0,0.002,0,0,0.005,0,0.5,0.1,0,0,0
DepB4: echinoderms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.001,0.005,0.025,0.01,0.001,0,0.0051,0,0.002,0,0,0,0,0.005,0,0.001,0,0,0,0,0.01,0.02,0.04,0,0,0,0,0,0,0,0,0.004,0,0.015,0.025,0
"DepB5: benthic amphipods, isopods, and cumaceans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0.02,0.05,0.001,0.03,0.02,0.05,0.05,0.008,0,0.0051,0,0.005,0.025,0,0,0,0.005,0.2,0.1,0.05,0,0,0.01,0.05,0.02,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0
