"taxon";"name";"value"
"Julus scandinavius";"body size";27
"Kryphoiulus occultus";"body size";27
"Ophyiulus pilosus";"body size";28,25
"Tachypodoiulus niger";"body size";34
"Unciger foetidus";"body size";23,25
"Polydesmus angustus";"body size";20,75
"Polydesmus inconstans";"body size";13
"Polydesmus superus";"body size";9
"Propolydesmus testaceus";"body size";15,375
"Lamyctes emarginatus";"body size";9
"Lamyctes fulvicornis";"body size";9
"Lithobius aeruginosus";"body size";7,5
"Lithobius forficatus";"body size";26
"Lithobius microps";"body size";7,5
"Lithobius piceus";"body size";17
"Armadillidium vulgare";"body size";15
"Oniscus asellus";"body size";16,5
"Lepidoniscus hypnorum";"body size";9
"Philoscia muscorum";"body size";11
"Porcellio scaber";"body size";16
"Trachelipus rathkii";"body size";15
"Hyloniscus riparius";"body size";6
"Forficula auricularia";"body size";14
"Chorthippus albomarginatus";"body size";17,125
"Chorthippus apricarius";"body size";16,625
"Chorthippus biguttulus";"body size";17
"Chorthippus dorsatus";"body size";19
"Chorthippus parallelus";"body size";17,25
"Stenobothrus lineatus";"body size";20,5
"Acheta domesticus";"body size";18
"Tetrix subulata";"body size";14
"Tetrix tenuicornis";"body size";9,5
"Orius minutus";"body size";2,35
"Orius niger";"body size";2,05
"Neophilaenus campestris";"body size";5,35
"Berytinus clavipes";"body size";6
"Philaenus spumarius";"body size";5,9
"Agallia brachyptera";"body size";3
"Anaceratagallia ribauti";"body size";3
"Anoscopus flavostriatus";"body size";3,45
"Anoscopus serratulae";"body size";3,93
"Aphrodes bicincta";"body size";6,05
"Aphrodes makarovi";"body size";6,625
"Arthaldeus pascuellus";"body size";3,425
"Athysanus argentarius";"body size";7,3
"Chlorita paolii";"body size";2,825
"Cicadella viridis";"body size";3
"Cicadula persimilis";"body size";4,6
"Conosanus obsoletus";"body size";5,5
"Deltocephalus pulicaris";"body size";2,675
"Doratura stylata";"body size";3,675
"Elymana sulphurella";"body size";4,75
"Emelyanoviana mollicula";"body size";3,4
"Empoasca decipiens";"body size";3,5
"Empoasca pteridis";"body size";4,5
"Errastunus ocellaris";"body size";3,325
"Eupteryx atropunctata";"body size";3,6
"Eupteryx calcarata";"body size";3
"Eupteryx notata";"body size";2,9
"Eupteryx vittata";"body size";3,4
"Euscelis incisus";"body size";3,825
"Graphocraerus ventralis";"body size";5,45
"Macrosteles cristatus";"body size";3,5
"Macrosteles laevis";"body size";3,5
"Macrosteles maculosus";"body size";3,5
"Macrosteles sexnotatus";"body size";3,5
"Megadelphax sordidula";"body size";4,15
"Megophthalmus scanicus";"body size";3,2
"Mocydia crocea";"body size";4,85
"Neoaliturus fenestratus";"body size";4,2
"Ophiola decumana";"body size";3
"Psammotettix alienus";"body size";3,2
"Psammotettix confinis";"body size";3,5
"Psammotettix helvolus";"body size";3,2
"Verdanus abdominalis";"body size";4,15
"Zyginidia scutellaris";"body size";3
"Bathysolen nubilis";"body size";5,85
"Coriomeris denticulatus";"body size";8,75
"Acanthodelphax spinosa";"body size";2
"Dicranotropis hamata";"body size";2,85
"Ditropsis flavipes";"body size";2,45
"Javesella pellucida";"body size";3,55
"Kosswigianella exigua";"body size";2,5
"Laodelphax striatella";"body size";1,5
"Ribautodelphax albostriata";"body size";3,55
"Ribautodelphax angulosa";"body size";3
"Stenocranus minutus";"body size";5,5
"Drymus ryei";"body size";5
"Drymus sylvaticus";"body size";4,5
"Megalonotus chiragra";"body size";5,95
"Megalonotus emarginatus";"body size";4
"Metopoplax origani";"body size";3
"Nysius ericae";"body size";4
"Nysius senecionis";"body size";4,5
"Peritrechus geniculatus";"body size";5,5
"Peritrechus nubilus";"body size";5,5
"Sphragisticus nebulosus";"body size";5
"Stygnocoris rusticus";"body size";3,75
"Gargara genistae";"body size";4,8
"Adelphocoris lineolatus";"body size";8,45
"Adelphocoris quadripunctatus";"body size";8,9
"Adelphocoris seticornis";"body size";7,5
"Amblytylus nasutus";"body size";4,25
"Campylomma verbasci";"body size";3
"Charagochilus gyllenhallii";"body size";3
"Chlamydatus pulicarius";"body size";2,91
"Chlamydatus pullus";"body size";2,35
"Chlamydatus saltitans";"body size";2,5
"Dicyphus globulifer";"body size";3,75
"Halticus apterus";"body size";2,65
"Lygus gemellatus";"body size";5,75
"Lygus pratensis";"body size";6,55
"Lygus rugulipennis";"body size";5,2
"Melanotrichus flavosarsus";"body size";3,6
"Notostira elongata";"body size";7,35
"Orthocephalus saltator";"body size";4,55
"Orthops basalis";"body size";5
"Orthops kalmii";"body size";4,4
"Pachytomella arallela";"body size";4
"Plagiognathus arbustorum";"body size";4
"Plagiognathus chrysanthemi";"body size";3,6
"Polymerus nigrita";"body size";4,5
"Polymerus unifasciatus";"body size";5,9
"Stenodema calcaratum";"body size";7,5
"Stenodema laevigata";"body size";8,4
"Trigonotylus caelestialium";"body size";7
"Tytthus ygmaeus";"body size";2,7
"Himacerus major";"body size";8,25
"Himacerus mirmicoides";"body size";7
"Nabis ";"body size";8
"Nabis brevis";"body size";6,2
"Nabis ferus";"body size";8
"Nabis pseudoferus";"body size";7,5
"Carpocoris fuscispinus";"body size";11
"Carpocoris purpureipennis";"body size";11
"Dolycoris baccarum";"body size";11
"Eurydema olecareum";"body size";6,5
"Graphosoma lineatum";"body size";9,5
"Holcostethus strictus";"body size";9,5
"Palomena viridissima";"body size";12
"Peribalus vernalis";"body size";10,25
"Piezodorus lituratus";"body size";11
"Podops inuncta";"body size";5
"Corizus hyoscyami";"body size";9,4
"Rhopalus parumpunctatus";"body size";6,85
"Stictopleurus abutilon";"body size";7,85
"Stictopleurus unctatonervosus";"body size";7,5
"Rhyparochromus pini";"body size";7,45
"Rhyparochromus vulgaris";"body size";7,5
"Scolopostethus affinis";"body size";3,55
"Eurygaster maura";"body size";9,5
"Eurygaster testudinaria";"body size";10
"Acalypta carinata";"body size";3
"Acalypta marginata";"body size";2,05
"Acalypta nigrina";"body size";2,6
"Catoplatus fabricii";"body size";4,1
"Kalama tricornis";"body size";3,15
"Aeolothrips intermedius";"body size";2,5
"Haplothrips aculeatus";"body size";1,5
"Frankliniella intonsa";"body size";1,6
"Frankliniella tenuicornis";"body size";1,6
"Limothrips cerealium";"body size";1,1
"Limothrips denticornis";"body size";1,5
"Odontothrips loti";"body size";1,55
"Odontothrips phaleratus";"body size";7
"Thrips sp1-angusticeps";"body size";1,5
"Anthicus antherinus";"body size";2,8
"Apion cruentatum";"body size";3
"Apion frumentarium";"body size";2,65
"Catapion pubescens";"body size";1,75
"Catapion seniculus";"body size";1,8
"Cerapion onopordi";"body size";3,5
"Diplapion confluens";"body size";2,05
"Holotrichapion aethiops";"body size";2,7
"Apion pisi";"body size";3
"Ischnopterapion loti";"body size";2,16
"Ischnopterapion modestum";"body size";2,12
"Ischnopterapion virens";"body size";1,7
"Apion semivittatum";"body size";2,1
"Apion violaceum";"body size";5
"Protapion apricans";"body size";2,45
"Protapion assimile";"body size";2,05
"Protapion fulvipes";"body size";2
"Protapion nigritarse";"body size";1,75
"Protapion trifolii";"body size";1,9
"Squamapion cineraceum";"body size";2
"Stenopterapion tenue";"body size";1,95
"Eutrichapion punctigerum";"body size";2,7
"Bruchus luteicornis";"body size";2,15
"Trachys scrobiculatus";"body size";2
"Byrrhus pilula";"body size";8
"Lamprobyrrhulus nitidus";"body size";3
"Simplocaria semistriata";"body size";2,75
"Cantharis fusca";"body size";12,5
"Cantharis lateralis";"body size";6
"Cantharis rufa";"body size";7,5
"Rgonycha fulva";"body size";8,5
"Acupalpus meridianus";"body size";3,5
"Agonum mulleri";"body size";7,95
"Amara aenea";"body size";7,5
"Amara aulica";"body size";12,8
"Amara bifrons";"body size";6,5
"Amara communis";"body size";7
"Amara consularis";"body size";8,25
"Amara convexior";"body size";8
"Amara equestris";"body size";11,3
"Amara eurynota";"body size";11
"Amara familiaris";"body size";6,5
"Amara lunicollis";"body size";7,5
"Amara montivaga";"body size";8,5
"Amara nitida";"body size";8
"Amara ovata";"body size";8,8
"Amara plebeja";"body size";7
"Amara quenseli";"body size";9,4
"Amara similata";"body size";8,25
"Anchomenus dorsalis";"body size";6,8
"Anisodactylus binotatus";"body size";11
"Asaphidion flavipes";"body size";4,65
"Asaphidion pallipes";"body size";4,85
"Badister bullatus";"body size";5,7
"Bembidion lampros";"body size";3,5
"Bembidion obtusum";"body size";3,2
"Bembidion properans";"body size";3,75
"Bembidion quadrimaculatum";"body size";3,1
"Brachinus explodens";"body size";6
"Calathus erratus";"body size";10
"Calathus fuscipes";"body size";12,3
"Calathus melanocephalus";"body size";7,5
"Carabus auratus";"body size";23,5
"Carabus granulatus";"body size";20
"Carabus nemoralis";"body size";23
"Cicindela campestris";"body size";12,5
"Clivina fossor";"body size";6,25
"Diachromus germanus";"body size";9
"Dyschirius globosus";"body size";2,4
"Harpalus affinis";"body size";10,5
"Harpalus distinguendus";"body size";9,6
"Harpalus griseus";"body size";10
"Harpalus latus";"body size";9,5
"Harpalus rubripes";"body size";10
"Harpalus rufipes";"body size";13,5
"Leistus ferrugineus";"body size";7
"Limodromus assimilis";"body size";11
"Loricera pilicornis";"body size";5,21
"Microlestes maurus";"body size";3
"Microlestes minutulus";"body size";3,1
"Nebria brevicollis";"body size";12
"Notiophilus aestuans";"body size";4,7
"Notiophilus aquaticus";"body size";4,7
"Notiophilus palustris";"body size";4,5
"Ophonus ardosiacus";"body size";13,5
"Ophonus azureus";"body size";7,5
"Ophonus laticollis";"body size";9,75
"Ophonus puncticeps";"body size";8,3
"Harpalus seladon";"body size";8
"Ophonus schaubergerianus";"body size";7,5
"Ophonus stictus";"body size";13
"Paratachys bistriatus";"body size";1,9
"Poecilus cupreus";"body size";11
"Poecilus versicolor";"body size";9,8
"Pseudophonus rufipes";"body size";13,27
"Pterostichus melanarius";"body size";15
"Pterostichus minor";"body size";7
"Pterostichus strenuus";"body size";6
"Pterostichus vernalis";"body size";6,85
"Stomis pumicatus";"body size";7,4
"Syntomus truncatellus";"body size";3,15
"Synuchus vivalis";"body size";7,4
"Trechus quadristriatus";"body size";4
"Aphthona pallida";"body size";1,65
"Asiorestia ferruginea";"body size";3,1
"Cassida sanguinosa";"body size";4,75
"Cassida vibex";"body size";6,25
"Chaetocnema concinna";"body size";1,9
"Chaetocnema hortensis";"body size";1,9
"Chaetocnema laevicollis";"body size";2
"Chrysolina haemoptera";"body size";7
"Chrysolina oricalcia";"body size";7,5
"Chrysolina staphylaea";"body size";7,75
"Chrysolina sturmi";"body size";8
"Epithrix pubescens";"body size";1,75
"Gastrophysa viridula";"body size";5,5
"Longitarsus atricillus";"body size";2,5
"Longitarsus luridus";"body size";1,85
"Longitarsus lycopi";"body size";1,75
"Longitarsus melanocephalus";"body size";2,5
"Longitarsus noricus";"body size";2,85
"Longitarsus parvulus";"body size";1,4
"Longitarsus pratensis";"body size";1,6
"Longitarsus reichei";"body size";1,75
"Longitarsus succineus";"body size";1,95
"Phyllotreta atra";"body size";2,5
"Phyllotreta nigripes";"body size";3
"Phyllotreta vittula";"body size";2
"Cassida panzeri";"body size";6,5
"Cassida rubiginosa";"body size";7,25
"Oulema (Lema) duftschmidi";"body size";4,25
"Oulema (Lema) gallaeciana";"body size";3,5
"Phyllotreta undulata";"body size";1,5
"Timarcha (Chrysomela) goettingensis";"body size";9,5
"Coccinella quinquepunctata";"body size";4
"Coccinella septempunctata";"body size";6,6
"Adonia variegata";"body size";4,5
"Hyperaspis campestris";"body size";3,25
"Platynaspis luteorubra";"body size";3,15
"Propylea quatuordecimpunctata";"body size";4
"Psyllobora vigintiduopunctata";"body size";3,75
"Scymnus frontalis";"body size";2,5
"Scymnus haemorrhoidalis";"body size";1,5
"Tytthaspis sedecimpunctata";"body size";3
"Corylophus cassidioides";"body size";0,75
"Sericoderus lateralis";"body size";1,05
"Atomaria analis";"body size";1,75
"Atomaria atricapilla";"body size";1,45
"Atomaria basalis";"body size";1,6
"Atomaria fuscata";"body size";1,65
"Atomaria linearis";"body size";1,35
"Atomaria nigriventris";"body size";1,3
"Atomaria sp1";"body size";1,55
"Atomaria sp2";"body size";1,55
"Cryptophagus pilosus";"body size";2,75
"Cryptophagus schmidti";"body size";2,65
"Atomaria punctithorax";"body size";1,65
"Baris lepidii";"body size";3,5
"Barypeithes pellucidus";"body size";3,75
"Barypeithes trichopterus";"body size";3,05
"Ceutorhynchus erysimi";"body size";2,3
"Ceutorhynchus floralis";"body size";2,85
"Coryssomerus capucinus";"body size";3
"Eusomus ovulum";"body size";5,75
"Glocianus punctiger";"body size";2,8
"Alophus triguttatus";"body size";7,5
"Hypera meles";"body size";4,4
"Hypera nigrirostris";"body size";3,5
"Hypera plantaginis";"body size";4,4
"Hypera postica";"body size";4,65
"Hypera suspiciosa";"body size";5,3
"Hypera venusta";"body size";3,3
"Hypera zoilus";"body size";7,5
"Lepyrus capucinus";"body size";10
"Limobius borealis";"body size";2,75
"Liophloeus tessulatus";"body size";9
"Liparus coronatus";"body size";10,75
"Mecinus collaris";"body size";3,25
"Gymnetron labile";"body size";1,95
"Gymnetron pascuorum";"body size";1,8
"Mecinus pyraster";"body size";3,4
"Otiorhynchus ligustici";"body size";10
"Otiorhynchus raucus";"body size";6,5
"Phyllobius betulinus";"body size";5
"Phyllobius roboretanus";"body size";4,5
"Phyllobius viridicollis";"body size";5
"Rhinoncus castor";"body size";3
"Rhinoncus pericarpius";"body size";2,95
"Sciaphilus asperatus";"body size";5
"Sitona hispidulus";"body size";4
"Sitona humeralis";"body size";4,25
"Sitona languidus";"body size";3,75
"Sitona lepidus";"body size";5,25
"Sitona lineatus";"body size";4
"Sitona crinitus";"body size";3,75
"Sitona sulcifrons";"body size";3,5
"Sitona suturalis";"body size";4,25
"Sitona waterhousei";"body size";4
"Tanymecus palliatus";"body size";12
"Trachyphloeus aristatus";"body size";2,75
"Trichosirocalus troglodytes";"body size";2,6
"Tychius junceus";"body size";2,15
"Tychius picirostris";"body size";2,15
"Tychius pusillus";"body size";2
"Tychius stephensi";"body size";2,25
"Zacladus geranii";"body size";2,85
"Hadroplontus litura";"body size";3,35
"Phyllobius (Subphyllobius) parvulus";"body size";4,5
"Dermestes laniarius";"body size";7,25
"Adrastus rachifer";"body size";3,6
"Agriotes obscurus";"body size";8,75
"Agriotes sputator";"body size";7,25
"Agrypnus murinus";"body size";14,5
"Athous bicolor";"body size";9,5
"Hemicrepidius hirtus";"body size";12,25
"Hemicrepidius niger";"body size";12
"Oedostethus quadripustulatus";"body size";3,25
"Odonteus armiger";"body size";8,5
"Margarinotus carbonarius";"body size";4,5
"Margarinotus purpurascens";"body size";4,5
"Helophorus griseus";"body size";2,95
"Helophorus nubilus";"body size";3,5
"Megasternum boletophagum";"body size";2
"Megasternum obscurum";"body size";1,95
"Brachypterus glaber";"body size";2,1
"Corticarina fuscula";"body size";1,65
"Cortinicara gibbosa";"body size";1,3
"Enicmus histrio";"body size";1,75
"Enicmus transversus";"body size";2
"Lathridius lardarius";"body size";2,55
"Catops nigriclavis";"body size";4
"Choleva oblonga";"body size";5
"Liocyrtusa minuta";"body size";2
"Liocyrtusa pauxilla";"body size";2
"Ptomaphagus sericatus";"body size";2,85
"Ptomaphagus subvillosus";"body size";3,15
"Ptomaphagus varicornis";"body size";2,85
"Sciodrepoides watsoni";"body size";3,05
"Malachius bipustulatus";"body size";5,5
"Malachius viridis";"body size";4,5
"Mordellistena falsoparvula";"body size";6
"Mordellistena parvula";"body size";6
"Meligethes erythropus";"body size";2,2
"Glischrochilus quadrisignatus";"body size";6
"Meligethes aeneus";"body size";2,1
"Meligethes nigrescens";"body size";2,1
"Oedemera lurida";"body size";6
"Oedemera virescens";"body size";9,5
"Olibrus affinis";"body size";2,2
"Olibrus bicolor";"body size";2,75
"Acrotrichis fascicularis";"body size";0,9
"Acrotrichis sitkaensis";"body size";1
"Amphimallon solstitiale";"body size";16
"Onthophagus ovatus";"body size";5
"Hylastinus obscurus";"body size";2,25
"Nicrophorus vespillo";"body size";17
"Silpha obscura";"body size";15
"Silpha tristis";"body size";15
"Acrotona parvula";"body size";2
"Aleochara bilineata";"body size";4
"Aleochara bipustulata";"body size";3,25
"Aleochara curtula";"body size";6
"Aleochara ruficornis";"body size";4,5
"Aleuonota gracilenta";"body size";2,6
"Aloconota gregaria";"body size";3,25
"Amischa analis";"body size";2,25
"Amischa decipiens";"body size";2,1
"Anaulacaspis nigra";"body size";2,75
"Anotylus hamatus";"body size";1,5
"Anotylus insecatus";"body size";4,25
"Anotylus inustus";"body size";3,5
"Anotylus rugosus";"body size";5
"Anotylus sculpturatus";"body size";4
"Anotylus tetracarinatus";"body size";2,95
"Atheta amicula";"body size";1,8
"Atheta cauda";"body size";3,5
"Atheta crassicornis";"body size";3,5
"Atheta elongatula";"body size";3,25
"Atheta fungi";"body size";2,6
"Atheta fungicola";"body size";3,5
"Atheta laticollis";"body size";2,5
"Atheta myrmecobia";"body size";2,4
"Atheta oblita";"body size";2,2
"Atheta orbata";"body size";2,5
"Atheta palustris";"body size";3,5
"Atheta triangulum";"body size";3,14
"Bledius erraticus";"body size";3,3
"Bledius gallicus";"body size";4,25
"Bolitobius castaneus";"body size";6,5
"Callicerus rigidicornis";"body size";5
"Carpelimus punctatellus";"body size";1,5
"Dinaraea angustula";"body size";3,35
"Drusilla canaliculata";"body size";4,25
"Eusphalerum ophthalmicum";"body size";2,75
"Falagria thoracica";"body size";2,7
"Falagrioma thoracica";"body size";2,7
"Gabrius osseticus";"body size";6,25
"Gyrohypnus angustatus";"body size";7,5
"Hypocyphthus longicornis";"body size";1,2
"Ilyobates bennetti";"body size";4,25
"Ischnosoma splendidum";"body size";4,25
"Lathrobium dilutum";"body size";6,75
"Lathrobium fulvipenne";"body size";8,25
"Lathrobium pallidum";"body size";5,5
"Liogluta alpestris";"body size";3,75
"Mycetoporus splendens";"body size";5,25
"Ocypus aeneocephalus";"body size";13
"Ocypus brunnipes";"body size";13,5
"Ocypus nitens";"body size";16
"Ocypus olens";"body size";27
"Oligota pumilio";"body size";1,1
"Oligota pusillima";"body size";1,15
"Omalium caesum";"body size";3
"Oxypoda brachyptera";"body size";2,1
"Oxypoda brevicornis";"body size";2,85
"Oxypoda exoleta";"body size";2,3
"Oxypoda formiceticola";"body size";2,4
"Oxypoda longipes";"body size";4,9
"Paederus littoralis";"body size";8
"Zyras limbatus";"body size";5
"Philonthus atratus";"body size";8
"Philonthus carbonarius";"body size";12,5
"Philonthus cognatus";"body size";9,75
"Philonthus concinnus";"body size";10
"Philonthus laminatus";"body size";9
"Philonthus lepidus";"body size";10
"Philonthus rotundicollis";"body size";9,5
"Philonthus succicola";"body size";12
"Platydracus stercorarius";"body size";13,5
"Platystethus nitens";"body size";4,105
"Pycnota paradoxa";"body size";2,25
"Quedius boops";"body size";9
"Quedius curtipennis";"body size";12,5
"Quedius ochripennis";"body size";9,5
"Rheochara spadicea";"body size";5,25
"Scopaeus minutus";"body size";3,05
"Sepedophilus marshami";"body size";4,75
"Conosoma testaceum";"body size";4,25
"Stenus clavicornis";"body size";5,25
"Stenus humilis";"body size";3,15
"Stenus nanus";"body size";2
"Stenus similis";"body size";5,25
"Sunius bicolor";"body size";3,75
"Tachinus signatus";"body size";5,75
"Tachyporus atriceps";"body size";2,65
"Tachyporus chrysomelinus";"body size";3,75
"Tachyporus dispar";"body size";4
"Tachyporus hypnorum";"body size";3
"Tachyporus nitidulus";"body size";3,5
"Tachyporus obtusus";"body size";4,5
"Tachyporus pulchellus";"body size";3,15
"Tachyporus pusillus";"body size";3,5
"Tachyporus solutus";"body size";3,5
"Tachyporus tersus";"body size";2,5
"Ocypus melanarius";"body size";15
"Tasgius melanarius";"body size";16,5
"Ocypus pedator";"body size";17,5
"Trogophloeus punctatellus";"body size";8
"Xantholinus dvoraki";"body size";9
"Xantholinus linearis";"body size";7,5
"Xantholinus longiventris";"body size";8
"Zyras lugens";"body size";5
"Mitostoma chrysomelas";"body size";1,7
"Nemastoma dentigerum";"body size";2
"Nemastoma lugubre";"body size";2,25
"Oligolophus tridens";"body size";4,6
"Opilio canestrinii";"body size";5,45
"Phalangium opilio";"body size";5,575
"Rilaena triangularis";"body size";5,25
"Nelima sempronii";"body size";4,25
"Trogulus closanicus";"body size";6,45
"Allagelena gracilens";"body size";8,75
"Coelotes terrestris";"body size";10,25
"Aculepeira ceropegia";"body size";10,5
"Agalenatea redii";"body size";6
"Araniella cucurbitina";"body size";5
"Larinioides cornutus";"body size";9,5
"Mangora acalypha";"body size";4,5
"Singa hamata";"body size";3,5
"Argiope bruennichi";"body size";10
"Clubiona brevipes";"body size";5,5
"Clubiona reclusa";"body size";4
"Argenna subnigra";"body size";2,25
"Cicurina cicur";"body size";6
"Drassyllus lutetianus";"body size";5
"Drassyllus pusillus";"body size";4
"Haplodrassus minor";"body size";3,5
"Haplodrassus signifer";"body size";7
"Micaria pulicaria";"body size";3,5
"Trachyzelotes pedestris";"body size";5
"Zelotes latreillei";"body size";6,75
"Hahnia nava";"body size";1,75
"Araeoncus humilis";"body size";1,55
"Asthenargus paganus";"body size";1,6
"Bathyphantes gracilis";"body size";1,75
"Bathyphantes parvulus";"body size";2,15
"Centromerita bicolor";"body size";3,25
"Centromerus sylvaticus";"body size";2,975
"Collinsia inerrans";"body size";2,25
"Dicymbium nigrum";"body size";2,25
"Diplocephalus cristatus";"body size";2
"Diplocephalus latifrons";"body size";1,65
"Diplocephalus picinus";"body size";1,825
"Diplostyla concolor";"body size";2,75
"Dismodicus bifrons";"body size";4,35
"Erigone atra";"body size";2,325
"Erigone dentipalpis";"body size";2,3
"Erigonella hiemalis";"body size";1,675
"Latithorax faustus";"body size";2,3
"Leptorhoptrum robustum";"body size";3,8
"Meioneta rurestris";"body size";1,95
"Meioneta affinis";"body size";1,75
"Mermessus trilobatus";"body size";5,4
"Micrargus herbigradus";"body size";2
"Micrargus subaequalis";"body size";1,675
"Microlinyphia pusilla";"body size";4
"Oedothorax apicatus";"body size";2,425
"Oedothorax fuscus";"body size";2,5
"Oedothorax retusus";"body size";2,375
"Pelecopsis parallela";"body size";1,5
"Pocadicnemis juncea";"body size";1,9
"Porrhomma errans";"body size";2,4
"Porrhomma microphthalmum";"body size";1,85
"Porrhomma microps";"body size";2,35
"Tenuiphantes tenuis";"body size";2,625
"Tiso vagans";"body size";1,9
"Troxochrus scabriculus";"body size";1,425
"Walckenaeria atrotibialis";"body size";2,25
"Walckenaeria vigilax";"body size";3
"Phrurolithus festivus";"body size";2,5
"Alopecosa cuneata";"body size";6,875
"Alopecosa pulverulenta";"body size";7,625
"Arctosa lutetiana";"body size";7,5
"Aulonia albimana";"body size";3,75
"Pardosa agrestis";"body size";6,625
"Pardosa amentata";"body size";6,25
"Pardosa hortensis";"body size";5
"Pardosa lugubris";"body size";5,5
"Pardosa palustris";"body size";5,125
"Pardosa prativaga";"body size";4,75
"Pardosa pullata";"body size";4,75
"Pirata latitans";"body size";4
"Trochosa ruricola";"body size";9,75
"Trochosa terricola";"body size";9,25
"Xerolycosa miniata";"body size";6
"Tibellus oblongus";"body size";10
"Pisaura mirabilis";"body size";12,5
"Bianor aurocinctus";"body size";4,8
"Euophrys frontalis";"body size";3,5
"Myrmarachne formicaria";"body size";5,75
"Phlegra fasciata";"body size";6,4
"Salticus scenicus";"body size";5,5
"Synageles venator";"body size";3,5
"Talavera aequipes";"body size";2,5
"Pachygnatha clercki";"body size";5,25
"Pachygnatha degeeri";"body size";3,55
"Tetragnatha extensa";"body size";9,5
"Tetragnatha pinicola";"body size";5,5
"Cryptachaea riparia";"body size";3,5
"Dipoena melanogaster";"body size";3
"Enoplognatha ovata";"body size";6
"Enoplognatha thoracica";"body size";3,75
"Robertus arundineti";"body size";2,25
"Robertus lividus";"body size";4
"Robertus neglectus";"body size";2,25
"Phylloneta impressa";"body size";4
"Neottiura bimaculata";"body size";2,5
"Misumenops tricuspidatus";"body size";2,5
"Ozyptila claveata";"body size";3
"Ozyptila simplex";"body size";3,5
"Xysticus acerbus";"body size";6
"Xysticus cristatus";"body size";5,75
"Xysticus kochi";"body size";5,75
"Xysticus ulmi";"body size";5
"Zora spinimana";"body size";5,25
