"original_name";"name_clear"
"Erigonella hiemalis";"Erigonella hiemalis"
"Meioneta affinis";"Meioneta affinis"
"Micrargus subaequalis";"Micrargus subaequalis"
"Byrrhus pilula";"Byrrhus pilula"
"Lamprobyrrhulus nitidus";"Lamprobyrrhulus nitidus"
"Cantharis lateralis";"Cantharis lateralis"
"Cantharis rufa";"Cantharis rufa"
"Rgonycha fulva";"Rgonycha fulva"
"Acupalpus meridianus";"Acupalpus meridianus"
"Agonum mulleri";"Agonum mulleri"
"Amara aenea";"Amara aenea"
"Amara bifrons";"Amara bifrons"
"Amara communis";"Amara communis"
"Amara consularis";"Amara consularis"
"Amara convexior";"Amara convexior"
"Amara eurynota";"Amara eurynota"
"Amara familiaris";"Amara familiaris"
"Amara lunicollis";"Amara lunicollis"
"Amara montivaga";"Amara montivaga"
"Amara nitida";"Amara nitida"
"Amara ovata";"Amara ovata"
"Amara plebeja";"Amara plebeja"
"Amara quenseli";"Amara quenseli"
"Amara similata";"Amara similata"
"Anchomenus dorsalis";"Anchomenus dorsalis"
"Anisodactylus binotatus";"Anisodactylus binotatus"
"Asaphidion flavipes";"Asaphidion flavipes"
"Asaphidion pallipes";"Asaphidion pallipes"
"Badister bullatus";"Badister bullatus"
"Bembidion lampros";"Bembidion lampros"
"Bembidion obtusum";"Bembidion obtusum"
"Bembidion properans";"Bembidion properans"
"Bembidion quadrimaculatum";"Bembidion quadrimaculatum"
"Brachinus explodens";"Brachinus explodens"
"Calathus erratus";"Calathus erratus"
"Calathus melanocephalus";"Calathus melanocephalus"
"Harpalus affinis";"Harpalus affinis"
"Harpalus distinguendus";"Harpalus distinguendus"
"Harpalus griseus";"Harpalus griseus"
"Harpalus latus";"Harpalus latus"
"Harpalus rubripes";"Harpalus rubripes"
"Leistus ferrugineus";"Leistus ferrugineus"
"Limodromus assimilis";"Limodromus assimilis"
"Loricera pilicornis";"Loricera pilicornis"
"Microlestes maurus";"Microlestes maurus"
"Microlestes minutulus";"Microlestes minutulus"
"Notiophilus aestuans";"Notiophilus aestuans"
"Notiophilus palustris";"Notiophilus palustris"
"Ophonus azureus";"Ophonus azureus"
"Ophonus laticollis";"Ophonus laticollis"
"Ophonus puncticeps";"Ophonus puncticeps"
"Harpalus seladon";"Harpalus seladon"
"Ophonus schaubergerianus";"Ophonus schaubergerianus"
"Poecilus cupreus";"Poecilus cupreus"
"Poecilus versicolor";"Poecilus versicolor"
"Pterostichus minor";"Pterostichus minor"
"Pterostichus strenuus";"Pterostichus strenuus"
"Pterostichus vernalis";"Pterostichus vernalis"
"Stomis pumicatus";"Stomis pumicatus"
"Syntomus truncatellus";"Syntomus truncatellus"
"Synuchus vivalis";"Synuchus vivalis"
"Trechus quadristriatus";"Trechus quadristriatus"
"Phyllotreta nigripes";"Phyllotreta nigripes"
"Platynaspis luteorubra";"Platynaspis luteorubra"
"Propylea quatuordecimpunctata";"Propylea quatuordecimpunctata"
"Barypeithes pellucidus";"Barypeithes pellucidus"
